Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-297.9472	-272.5488	-25.39847	2.252334	0.187432	0.011604	0.800964	0.5774552
200	-296.1068	-274.9236	-21.18323	2.39325	0.185674	0.188485	0.625841	0.03452478
400	-298.9903	-274.5733	-24.41701	2.728037	0.173092	0.368112	0.458796	0.02324259
600	-293.7706	-273.9553	-19.81528	2.231459	0.218214	0.0166314	0.765154	0.05902043
800	-292.6986	-276.7029	-15.99561	1.872103	0.22145	0.0159446	0.762606	0.03625063
1000	-296.3692	-280.7049	-15.66438	1.851865	0.230434	0.0462604	0.723306	0.0235668
1200	-296.611	-278.9607	-17.6503	1.954821	0.187457	0.0477008	0.764842	0.1153581
1400	-296.4278	-277.9619	-18.46594	2.025865	0.206202	0.0236464	0.770151	0.128533
1600	-291.9017	-278.9403	-12.96146	1.585369	0.23073	0.00623279	0.763038	0.0200493
1800	-299.3218	-274.3263	-24.99557	2.747436	0.171393	0.181193	0.647415	0.06233524
2000	-298.0893	-275.7039	-22.38538	2.453198	0.204695	0.0937532	0.701552	0.09470559
2200	-295.9893	-278.0884	-17.90084	1.965378	0.230713	0.0329791	0.736307	0.1319226
2400	-296.9127	-279.5723	-17.34041	2.04302	0.182371	0.131472	0.686157	0.00110196
2600	-298.2261	-279.6096	-18.61653	1.653613	0.211697	0.0134122	0.774891	0.4944412
2800	-293.8664	-276.9112	-16.95516	1.954239	0.211574	0.00636822	0.782057	0.05031551
3000	-297.0087	-270.0099	-26.99888	2.890679	0.147967	0.251767	0.600266	0.1177409
3200	-293.5497	-272.3587	-21.19106	2.398546	0.188798	0.00585979	0.805342	0.02978226
3400	-294.3571	-276.0251	-18.33198	1.995259	0.206315	0.0359373	0.757748	0.1442032
3600	-293.8655	-280.4761	-13.38935	1.584948	0.240042	0.00108011	0.758878	0.06178779
3800	-293.374	-279.3622	-14.01174	1.695684	0.23385	0.00195657	0.764193	0.01500726
4000	-292.6827	-278.4302	-14.2525	1.699896	0.244671	0.0199995	0.735329	0.03444116
4200	-296.8419	-278.994	-17.84786	2.041266	0.214184	0.132046	0.653769	0.05189282
4400	-294.7362	-280.6855	-14.05069	1.701522	0.205528	0.0616508	0.732821	0.01314328
4600	-293.8779	-277.0946	-16.78334	1.98742	0.189278	0.0730789	0.737643	0.0009958955
4800	-297.9018	-281.1073	-16.79443	1.983948	0.232888	0.055155	0.711957	0.005466346
5000	-293.0062	-275.2944	-17.71183	1.981867	0.227183	0.0108924	0.761924	0.09702489
5200	-295.238	-281.8744	-13.36354	1.622187	0.278801	0.0392007	0.681998	0.02368182
5400	-291.3632	-278.1747	-13.18847	1.623688	0.234955	0.0064137	0.758631	0.005087816
5600	-300.382	-265.2871	-35.09488	3.757792	0.104555	0.324957	0.570488	0.06275951
5800	-296.537	-282.1569	-14.38006	1.692329	0.19151	0.0309668	0.777524	0.05288084
6000	-295.4431	-275.054	-20.38916	2.106021	0.20711	0.00829122	0.784599	0.2376768
6200	-292.917	-277.289	-15.62801	1.785696	0.219338	0.0172397	0.763423	0.08427182
6400	-293.4761	-275.1797	-18.29645	2.072845	0.188496	0.0419454	0.769559	0.06525326
6600	-296.4521	-281.432	-15.02007	1.778573	0.257797	0.0702152	0.671987	0.03230414
6800	-294.701	-276.4088	-18.29228	2.01349	0.19024	0.0417895	0.76797	0.1227566
7000	-294.1625	-272.8695	-21.29295	2.411533	0.196302	0.0423392	0.761359	0.02728385
7200	-298.9041	-274.3512	-24.55293	2.752938	0.194013	0.345006	0.460981	0.0124936
7400	-294.6415	-275.0708	-19.57071	2.082741	0.181877	0.0168632	0.801259	0.1782012
7600	-292.2769	-275.043	-17.23386	2.011607	0.200058	0.00584753	0.794095	0.02126704
7800	-294.1704	-274.8106	-19.35981	2.162863	0.177903	0.0247062	0.797391	0.0816232
8000	-294.3843	-279.5648	-14.8195	1.763024	0.272306	0.0266478	0.701046	0.02816944
8200	-292.2538	-273.6015	-18.65228	2.132484	0.209851	0.0134514	0.776697	0.04179181
8400	-298.0326	-279.5891	-18.44347	2.003487	0.246084	0.0251633	0.728753	0.1453268
8600	-297.2271	-280.8913	-16.33572	1.922157	0.248173	0.0732423	0.678585	0.02104493
8800	-297.1429	-276.5798	-20.56314	2.364165	0.192345	0.280071	0.527584	0.002225916
9000	-294.1741	-276.9849	-17.18917	1.890905	0.232371	0.027351	0.740278	0.1331367
9200	-295.2521	-278.8665	-16.38565	1.747762	0.215557	0.0399696	0.744473	0.1950368
9400	-294.6149	-276.892	-17.72287	2.07663	0.230192	0.0398509	0.729957	0.005674939
9600	-294.6449	-279.0142	-15.63069	1.732177	0.21296	0.00130202	0.785738	0.1376512
9800	-295.9104	-272.0672	-23.84319	2.569292	0.201028	0.0351703	0.763802	0.1226592
10000	-293.8901	-274.3388	-19.55132	2.232062	0.208272	0.0443378	0.747391	0.03246531
10200	-294.9531	-272.7259	-22.22728	2.504319	0.14316	0.0181049	0.838735	0.02793838
10400	-292.3661	-275.5626	-16.80352	1.870252	0.21874	0.0014631	0.779797	0.1154261
10600	-293.4773	-274.3323	-19.145	2.210173	0.166303	0.0329213	0.800776	0.01410223
10800	-298.9164	-282.0852	-16.83124	1.597641	0.195325	0.00463729	0.800038	0.3835359
11000	-295.9718	-271.0927	-24.87913	2.74683	0.136271	0.0487681	0.814961	0.05016558
11200	-295.9724	-272.4722	-23.50011	2.630896	0.165455	0.247067	0.587478	0.02858675
11400	-295.5103	-277.9836	-17.52672	2.057835	0.20017	0.124788	0.675043	0.004842816
11600	-296.5279	-277.851	-18.67688	2.13112	0.227975	0.10119	0.670835	0.04601304
11800	-296.5304	-281.565	-14.96539	1.754401	0.268096	0.0704301	0.661474	0.05091023
12000	-300.3693	-270.5714	-29.79791	3.154742	0.147687	0.166962	0.685351	0.1315265
12200	-296.8343	-269.5118	-27.32249	3.02515	0.163751	0.203418	0.632831	0.01724359
