Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-300.5732	-277.6838	-22.88934	2.498337	0.122377	0.292702	0.584921	0.294829	0.321131	0.19202	0.19202	0.1005943
200	-303.3021	-273.177	-30.12513	2.863382	0.138914	0.260146	0.60094	0.348104	0.336662	0.157617	0.157617	0.4507324
400	-300.4872	-268.2606	-32.22662	3.498239	0.118872	0.409712	0.471416	0.224887	0.284619	0.245247	0.245247	0.03505506
600	-298.8285	-268.2663	-30.5622	3.359859	0.107194	0.2989	0.593906	0.263963	0.307424	0.214306	0.214306	0.006381515
800	-298.8698	-272.0228	-26.84705	2.907195	0.153365	0.315986	0.53065	0.326759	0.331617	0.170812	0.170812	0.08663449
1000	-302.8566	-265.9738	-36.88282	3.748467	0.144978	0.321409	0.533612	0.310854	0.326846	0.18115	0.18115	0.2453885
1200	-301.1199	-266.8768	-34.2431	3.676478	0.0922865	0.308603	0.59911	0.230204	0.288099	0.240848	0.240848	0.0588456
1400	-299.9688	-275.0046	-24.96424	2.74115	0.173481	0.345351	0.481168	0.334367	0.33359	0.166021	0.166021	0.06517785
1600	-303.5821	-277.568	-26.01408	2.687878	0.157157	0.467004	0.37584	0.251789	0.300995	0.223608	0.223608	0.213433
1800	-299.8899	-275.3289	-24.56094	2.663425	0.160403	0.429161	0.410436	0.27207	0.311379	0.208275	0.208275	0.1012352
2000	-298.4168	-268.535	-29.88175	3.255797	0.121884	0.327113	0.551004	0.271458	0.311089	0.208726	0.208726	0.043262
2200	-300.2928	-275.2218	-25.071	2.779948	0.15433	0.265799	0.579872	0.367339	0.339932	0.146364	0.146364	0.0367597
2400	-299.6844	-272.456	-27.22834	3.025239	0.16235	0.408318	0.429332	0.284491	0.316944	0.199283	0.199283	0.007838035
2600	-305.4819	-278.4379	-27.04397	2.830746	0.196045	0.49651	0.307444	0.283075	0.316339	0.200293	0.200293	0.1764149
2800	-302.5007	-273.1454	-29.35531	3.111613	0.125304	0.454926	0.41977	0.215956	0.278495	0.252775	0.252775	0.1329366
3000	-299.7149	-270.8727	-28.8422	3.106713	0.12809	0.278092	0.593817	0.315352	0.328285	0.178182	0.178182	0.08911144
3200	-298.9012	-268.4046	-30.49657	3.326915	0.136984	0.260971	0.602045	0.34422	0.335857	0.159962	0.159962	0.03250811
3400	-300.8327	-269.1182	-31.71441	3.278676	0.116784	0.286016	0.5972	0.28993	0.319197	0.195437	0.195437	0.1990917
3600	-297.8593	-273.8022	-24.05708	2.714569	0.141365	0.357889	0.500746	0.283152	0.316373	0.200238	0.200238	0.001245278
3800	-301.1297	-273.4154	-27.71431	3.05906	0.162876	0.392967	0.444157	0.293025	0.320429	0.193273	0.193273	0.0220946
4000	-300.184	-278.8854	-21.29854	2.360906	0.156014	0.393397	0.450589	0.283966	0.316721	0.199656	0.199656	0.07653391
4200	-298.2628	-268.9816	-29.28126	3.169634	0.130979	0.344534	0.524487	0.275448	0.312951	0.2058	0.2058	0.06832488
4400	-298.7388	-271.1536	-27.58517	2.96294	0.12787	0.363931	0.508199	0.260003	0.305399	0.217299	0.217299	0.1052988
4600	-300.7601	-276.069	-24.69102	2.729807	0.135604	0.349854	0.514542	0.279332	0.314704	0.202982	0.202982	0.04995665
4800	-299.3493	-275.3315	-24.01782	2.601327	0.151308	0.324619	0.524073	0.317923	0.329075	0.176501	0.176501	0.109969
5000	-299.5937	-270.0678	-29.5259	3.175576	0.12011	0.314179	0.565711	0.276566	0.313462	0.204986	0.204986	0.08924965
5200	-299.167	-267.9502	-31.21675	3.36888	0.128042	0.32386	0.548098	0.283339	0.316453	0.200104	0.200104	0.06167304
5400	-299.0727	-264.943	-34.12971	3.675812	0.111816	0.289662	0.598523	0.27851	0.314338	0.203576	0.203576	0.04783565
5600	-299.1523	-273.5604	-25.59185	2.829897	0.128176	0.250663	0.62116	0.338339	0.334543	0.163559	0.163559	0.0388757
5800	-301.0541	-273.1791	-27.87495	2.980123	0.151847	0.441523	0.40663	0.255906	0.303236	0.220429	0.220429	0.1168026
6000	-300.2478	-279.8011	-20.44665	2.302853	0.163671	0.452405	0.383924	0.265667	0.308277	0.213028	0.213028	0.05073812
6200	-299.8627	-269.5849	-30.27782	3.299711	0.151992	0.384557	0.463451	0.283277	0.316426	0.200149	0.200149	0.03787714
6400	-299.4732	-276.1832	-23.29004	2.625992	0.150273	0.324277	0.52545	0.316664	0.328691	0.177322	0.177322	0.01295294
6600	-301.9705	-275.9879	-25.98267	2.896609	0.168888	0.54206	0.289052	0.237554	0.29271	0.234868	0.234868	0.01161059
6800	-302.1757	-275.6681	-26.50756	2.748384	0.15556	0.383401	0.46104	0.288629	0.318668	0.196352	0.196352	0.2080749
7000	-300.6144	-269.092	-31.52239	3.255095	0.124581	0.26492	0.610499	0.319849	0.329652	0.17525	0.17525	0.2065066
7200	-300.8159	-269.9878	-30.82808	3.266377	0.141295	0.367058	0.491648	0.277946	0.314085	0.203984	0.203984	0.1269485
7400	-300.8501	-272.0553	-28.79475	3.125645	0.159854	0.435485	0.404661	0.268509	0.309674	0.210909	0.210909	0.06333195
7600	-302.3337	-277.6139	-24.7198	2.774863	0.15347	0.597448	0.249082	0.204376	0.270026	0.262799	0.262799	0.006919667
7800	-302.4329	-270.5341	-31.89873	3.433482	0.152778	0.355797	0.491425	0.300404	0.323225	0.188186	0.188186	0.06608693
8000	-303.157	-281.196	-21.96095	2.304715	0.160359	0.54563	0.294011	0.227141	0.286109	0.243375	0.243375	0.2000753
8200	-301.4962	-273.2719	-28.22437	3.122087	0.157056	0.509207	0.333737	0.235727	0.291585	0.236344	0.236344	0.01054193
8400	-300.9685	-276.9335	-24.03499	2.623072	0.176886	0.473687	0.349427	0.271893	0.311295	0.208406	0.208406	0.08958754
8600	-299.9054	-270.4829	-29.42256	3.130607	0.135753	0.260199	0.604049	0.342852	0.335561	0.160793	0.160793	0.1192617
8800	-302.8323	-278.9734	-23.85889	2.695178	0.150243	0.36677	0.482987	0.290599	0.319466	0.194968	0.194968	0.0008047733
9000	-300.1457	-273.1646	-26.9811	2.982175	0.14185	0.353142	0.505008	0.28657	0.317818	0.197806	0.197806	0.02516888
9200	-303.7151	-284.0939	-19.62125	2.220336	0.147673	0.258023	0.594304	0.364	0.339449	0.148276	0.148276	0.05021223
9400	-303.9792	-277.1973	-26.78188	2.824792	0.177382	0.361795	0.460823	0.328987	0.332215	0.169399	0.169399	0.1618624
9600	-302.0659	-274.5806	-27.48533	2.954796	0.18568	0.406852	0.407468	0.313366	0.327659	0.179488	0.179488	0.1018732
