Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-301.6636	-283.5584	-18.10519	2.047238	0.004005566
200	-306.7826	-289.273	-17.50958	1.950709	0.04259844
400	-303.7047	-285.923	-17.78163	1.845142	0.1653664
600	-303.8989	-289.5928	-14.30608	1.636027	0.03249318
800	-301.0687	-285.1129	-15.95576	1.755563	0.07956998
1000	-305.8947	-288.6391	-17.25562	1.586921	0.3605658
1200	-303.6873	-286.8164	-16.87085	1.611999	0.3049806
1400	-302.5443	-286.6465	-15.89778	1.819605	0.01030953
1600	-301.4772	-289.0253	-12.45186	1.473631	0.01175248
1800	-300.9433	-284.5876	-16.35573	1.833958	0.04157037
2000	-302.3395	-287.3653	-14.97428	1.587059	0.1439904
2200	-302.0185	-283.854	-18.16453	1.951657	0.1038781
2400	-301.9637	-284.3539	-17.60982	1.971244	0.02951852
2600	-301.6061	-286.253	-15.35307	1.650641	0.1219912
2800	-302.1338	-287.4772	-14.65665	1.699921	0.006218863
3000	-305.438	-288.1813	-17.25666	1.61127	0.3322628
3200	-302.1868	-284.6147	-17.57211	1.889496	0.1050266
3400	-303.0667	-286.7736	-16.2931	1.652744	0.2073834
3600	-301.9828	-287.6387	-14.34412	1.63387	0.03867778
3800	-304.6578	-289.3146	-15.3432	1.711725	0.05857784
4000	-305.9316	-284.0198	-21.91181	2.369985	0.0603723
4200	-302.1456	-284.5281	-17.61749	1.89544	0.1078024
4400	-303.1827	-287.7459	-15.43677	1.66428	0.1139658
4600	-303.3783	-287.1971	-16.18122	1.722123	0.1265756
4800	-306.9543	-289.5571	-17.39721	1.629649	0.320804
5000	-300.9753	-288.4092	-12.56617	1.474469	0.0223562
5200	-302.6242	-287.9633	-14.66088	1.532482	0.1709488
5400	-302.8074	-284.7283	-18.07906	2.026855	0.02086126
5600	-300.9167	-287.4834	-13.43337	1.581664	0.002392228
5800	-303.2191	-287.4119	-15.80716	1.771067	0.0469833
6000	-305.926	-293.4703	-12.4557	1.258151	0.2208227
6200	-302.1575	-285.9618	-16.19567	1.715662	0.1386099
6400	-301.906	-287.2936	-14.61241	1.606196	0.09100185
6600	-301.6835	-286.5505	-15.13302	1.663133	0.08774368
6800	-303.4672	-285.0668	-18.40035	2.058506	0.0208112
7000	-303.3784	-284.6103	-18.76804	2.01092	0.1068883
7200	-304.3447	-289.5172	-14.82745	1.48238	0.2271409
7400	-302.5658	-288.4677	-14.09816	1.482089	0.1614252
7600	-302.3742	-284.1816	-18.19263	2.020565	0.03847873
7800	-301.4951	-288.776	-12.71905	1.480655	0.03044265
8000	-304.7979	-288.233	-16.56493	1.552173	0.3325004
8200	-301.8841	-286.3773	-15.50683	1.721992	0.06577109
8400	-300.9094	-287.1677	-13.74171	1.614704	0.0002610006
8600	-308.1533	-282.5647	-25.58854	2.539996	0.2662074
8800	-306.9224	-296.7244	-10.19803	1.165306	0.09404775
9000	-304.765	-285.6784	-19.08655	2.035638	0.1051614
9200	-300.8816	-286.5346	-14.34708	1.656321	0.01873945
9400	-303.5686	-286.2399	-17.32873	1.755826	0.2052656
9600	-300.6569	-286.3469	-14.30992	1.671226	0.0005385681
9800	-301.913	-284.0708	-17.84213	1.907238	0.1174375
10000	-301.4495	-284.808	-16.64148	1.886427	0.01783888
10200	-303.1593	-288.2652	-14.89408	1.602737	0.1186276
10400	-300.8995	-285.8403	-15.05919	1.702198	0.04412157
10600	-302.74	-291.6703	-11.06971	1.347585	0.0001766602
10800	-301.4182	-286.9545	-14.4637	1.657346	0.02971382
11000	-303.1318	-288.2648	-14.86702	1.566932	0.1502636
11200	-301.9598	-287.993	-13.9668	1.603448	0.03190878
11400	-300.9837	-284.5798	-16.40388	1.854074	0.02640534
11600	-302.4547	-286.4896	-15.96513	1.822316	0.0142346
11800	-303.0171	-286.7646	-16.25248	1.825769	0.03706719
12000	-300.8071	-286.0058	-14.80127	1.682234	0.03803049
12200	-305.5853	-288.5548	-17.03057	1.898265	0.04273781
12400	-303.3786	-285.4067	-17.97184	1.748003	0.2846965
12600	-307.4689	-286.5523	-20.91661	1.732945	0.564194
12800	-305.2104	-284.2471	-20.96329	2.335341	0.001676225
13000	-302.68	-284.1703	-18.50968	2.081037	0.01095254
13200	-301.7966	-288.493	-13.30364	1.530528	0.04049556
13400	-301.813	-288.8743	-12.9387	1.44796	0.08477677
13600	-302.4162	-284.5406	-17.87554	1.9346	0.09181134
13800	-304.873	-286.1761	-18.69698	2.089837	0.02024521
14000	-300.7131	-287.8194	-12.8937	1.524383	0.005605534
14200	-301.1561	-287.0429	-14.11313	1.635807	0.01621431
14400	-302.4117	-289.0738	-13.33795	1.475278	0.09415517
14600	-304.1737	-284.9637	-19.21002	1.80578	0.3552907
14800	-300.5977	-285.2338	-15.36393	1.772843	0.004246328
15000	-301.7605	-286.0239	-15.73663	1.793574	0.0196767
15200	-302.1419	-283.7851	-18.35683	1.957795	0.1173624
15400	-302.5482	-285.5861	-16.96206	1.775629	0.1569068
15600	-302.544	-284.6966	-17.84746	1.885977	0.134476
15800	-301.4415	-286.9045	-14.53703	1.664124	0.02872416
16000	-305.8774	-285.1108	-20.76659	1.85736	0.4463826
16200	-307.5066	-289.4303	-18.07623	1.879445	0.1644568
16400	-301.8052	-286.8712	-14.93407	1.677783	0.05567143
16600	-301.7757	-284.8601	-16.9156	1.84939	0.08029273
16800	-301.94	-284.2931	-17.6469	1.963431	0.04249582
17000	-304.0778	-292.3564	-11.72134	1.336594	0.07194515
17200	-302.0413	-285.4387	-16.60268	1.751341	0.1474292
17400	-305.1255	-289.5191	-15.60636	1.430254	0.3516129
17600	-302.2966	-287.4673	-14.82928	1.63666	0.08177861
17800	-305.7704	-288.3331	-17.4373	1.849866	0.1260527
18000	-300.8199	-287.5692	-13.25073	1.563881	0.001947959
18200	-300.7413	-284.0662	-16.67516	1.900979	0.007207746
18400	-301.4515	-288.0295	-13.42201	1.545066	0.03619575
18600	-302.0292	-287.3306	-14.6986	1.64852	0.05897387
18800	-301.7985	-286.0036	-15.79498	1.74252	0.07564176
19000	-303.5354	-289.5023	-14.03308	1.625305	0.01805654
19200	-302.0066	-289.6479	-12.35872	1.46832	0.007803667
19400	-300.7027	-286.1621	-14.54065	1.683331	0.01115655
19600	-302.0489	-289.8475	-12.20131	1.413898	0.04564857
19800	-301.1101	-286.1113	-14.99888	1.73826	0.002306573
20000	-302.155	-285.5259	-16.62916	1.719318	0.1820859
20200	-303.7144	-285.9517	-17.76269	1.926855	0.08442983
20400	-302.0046	-283.6474	-18.35718	2.010621	0.06483957
20600	-308.0433	-284.9321	-23.11121	2.137688	0.3881515
20800	-303.0591	-290.1676	-12.89158	1.392453	0.1348169
21000	-300.9333	-286.3379	-14.59546	1.673074	0.02632157
21200	-301.2755	-286.9763	-14.29923	1.637483	0.03173439
21400	-302.0827	-287.9452	-14.13744	1.599291	0.0519135
21600	-303.5291	-291.6974	-11.83169	1.312337	0.1080214
21800	-303.9987	-284.1876	-19.81113	2.096401	0.1200137
22000	-301.35	-286.4552	-14.89474	1.626203	0.1026
22200	-302.0599	-286.8252	-15.2347	1.651533	0.110839
22400	-301.4184	-287.0672	-14.35123	1.644634	0.03003836
22600	-303.4759	-290.4814	-12.99451	1.372509	0.1604613
22800	-302.2684	-283.4569	-18.81154	2.041521	0.07896063
23000	-303.0077	-286.996	-16.01168	1.57899	0.2575814
23200	-303.4171	-291.2293	-12.18786	1.332726	0.1239193
23400	-305.4731	-288.8531	-16.61994	1.646294	0.2458648
23600	-303.4025	-287.0564	-16.34608	1.731449	0.1339989
23800	-303.2097	-286.7634	-16.44626	1.769502	0.1156741
24000	-301.3564	-286.4934	-14.86292	1.663671	0.0614381
24200	-303.7861	-287.2298	-16.55628	1.78899	0.1032471
24400	-302.891	-290.9309	-11.96009	1.414355	0.0207737
24600	-301.4735	-287.0142	-14.45928	1.627902	0.05643495
24800	-301.9387	-286.3823	-15.55636	1.734675	0.05831144
25000	-305.0321	-283.3014	-21.73074	2.332212	0.07903196
25200	-301.4424	-286.9468	-14.49562	1.685829	0.00431232
25400	-303.2057	-286.6851	-16.52066	1.764353	0.1202562
25600	-301.7432	-284.7413	-17.0019	1.799805	0.1384282
25800	-302.4804	-288.2109	-14.26949	1.522109	0.1423643
26000	-301.3538	-287.2876	-14.06624	1.62026	0.02571668
