Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-290.1114	-280.6712	-9.440228	1.215941	0.0301794	0.00222741	0.555505	0.412088	0.1415727
200	-291.6001	-278.6795	-12.92051	1.565908	0.0349107	0.00740356	0.505667	0.452019	0.1427418
400	-291.7199	-279.5253	-12.19451	1.503022	0.0260774	0.0276521	0.0506439	0.895627	0.1303016
600	-292.1389	-278.7655	-13.3734	1.538751	0.0234886	0.0381248	0.164007	0.77438	0.2135825
800	-294.3003	-283.914	-10.38634	1.431637	0.199375	0.00357326	0.0511166	0.745935	0.02537756
1000	-293.0555	-283.0854	-9.970019	1.371253	0.0222691	0.15456	0.788421	0.03475	0.04287554
1200	-292.1768	-284.1871	-7.989671	1.091386	0.0308269	0.0764524	0.499814	0.392906	0.1214214
1400	-293.8194	-284.4561	-9.363351	1.283652	0.00797114	0.0345778	0.199459	0.757992	0.0680444
1600	-292.0187	-280.6243	-11.39444	1.326494	0.0158196	0.0987363	0.178979	0.706465	0.2233184
1800	-289.2482	-279.2776	-9.970603	1.371564	0.0403607	0.0192154	0.0546175	0.885806	0.04320791
2000	-296.8697	-286.4264	-10.44329	1.463886	0.0813515	0.25465	0.643802	0.0201971	0.0003844729
2200	-289.8944	-280.3314	-9.562977	1.310994	0.0527934	0.0123667	0.885243	0.0495972	0.06183468
2400	-291.6872	-277.2606	-14.42659	1.765073	0.00619647	0.0182883	0.566408	0.409107	0.09435411
2600	-294.1899	-282.1155	-12.0745	1.424016	0.00777956	0.165984	0.572476	0.25376	0.1953216
2800	-292.4893	-282.0823	-10.40692	1.206404	0.0274059	0.0822566	0.169476	0.720861	0.2435837
3000	-291.233	-281.3382	-9.894756	1.22299	0.00216262	0.0671761	0.429313	0.501348	0.1769318
3200	-294.601	-279.5902	-15.01079	1.790272	0.0164699	0.219736	0.591753	0.172041	0.1252957
3400	-291.0569	-281.2519	-9.804921	1.359649	0.0598452	0.0294165	0.652806	0.257933	0.03886514
3600	-293.6604	-285.2235	-8.436966	1.184306	0.10201	0.0179642	0.0495634	0.830463	0.07635771
3800	-294.1283	-284.7741	-9.354158	1.232813	0.00491736	0.0476326	0.372319	0.575131	0.1118356
4000	-291.7681	-278.1454	-13.62264	1.766443	0.00308993	0.0793792	0.586326	0.331205	0.01506955
4200	-293.3336	-285.7338	-7.599817	1.114194	0.00310238	0.153327	0.154535	0.689035	0.06292486
4400	-298.0007	-285.3103	-12.69036	1.479348	0.0458671	0.0763082	0.613612	0.264213	0.1947678
4600	-292.1302	-279.8314	-12.29877	1.549126	0.0399103	0.151279	0.690602	0.118208	0.09639596
4800	-293.2745	-285.9968	-7.277653	1.101978	0.0278858	0.0182839	0.227879	0.725951	0.04439528
5000	-290.5681	-278.556	-12.01217	1.577357	0.0309801	0.0463256	0.252818	0.669876	0.04271086
5200	-292.2186	-280.821	-11.39752	1.538011	0.105722	0.0626784	0.447493	0.384106	0.02125913
5400	-290.6084	-281.5545	-9.053918	1.303891	0.00695333	0.144689	0.0762781	0.772079	0.0204475
5600	-291.5595	-284.5081	-7.051342	1.091963	0.014207	0.0774532	0.52443	0.38391	0.0318116
5800	-300.882	-282.3098	-18.57212	2.200123	0.143189	0.455753	0.260297	0.140761	0.07555332
6000	-288.3094	-279.0987	-9.210706	1.327434	0.011693	0.00792487	0.642038	0.338344	0.01306756
6200	-291.2943	-280.3474	-10.9469	1.474349	0.0246022	0.0183398	0.814487	0.142571	0.03797737
6400	-291.9473	-283.1125	-8.834742	1.195621	0.0272061	0.0777233	0.423214	0.471857	0.1033708
6600	-291.7737	-281.4359	-10.33784	1.406778	0.044758	0.112842	0.346229	0.496171	0.04612308
6800	-292.4538	-281.7307	-10.72311	1.426668	0.138294	0.00483628	0.220194	0.636676	0.06361353
7000	-290.2193	-279.4594	-10.75995	1.420743	0.0123364	0.0156959	0.899761	0.0722064	0.07274221
7200	-292.2588	-280.811	-11.44774	1.502485	0.0195046	0.0351871	0.254032	0.691276	0.06151359
7400	-293.0182	-282.0362	-10.98192	1.283894	0.000504987	0.207335	0.23233	0.559831	0.2254885
7600	-290.8843	-280.6273	-10.25696	1.337692	0.0030344	0.132424	0.638193	0.226348	0.1032198
7800	-292.2047	-281.5247	-10.68003	1.329213	0.0585535	0.115521	0.802305	0.0236206	0.1510407
8000	-293.3082	-282.34	-10.96817	1.501121	0.0930676	0.057709	0.550089	0.299134	0.01519664
8200	-291.2832	-279.2115	-12.07168	1.585375	0.00018002	0.101	0.476875	0.421945	0.03984086
8400	-289.9229	-282.136	-7.786896	1.134357	0.0259986	0.0285711	0.334076	0.611355	0.06094733
8600	-290.153	-280.9154	-9.237562	1.329959	0.0479546	0.0571088	0.806184	0.0887526	0.01316333
8800	-292.1783	-280.5023	-11.676	1.227998	0.0297416	0.0154406	0.5659	0.388918	0.3410829
9000	-292.8183	-280.6539	-12.16435	1.479976	0.0436879	0.0343935	0.47054	0.451378	0.1453257
9200	-291.9743	-280.6078	-11.36648	1.491182	0.00356457	0.103527	0.696524	0.196384	0.06394343
9400	-294.8196	-279.7498	-15.06986	1.640727	0.0542543	0.111428	0.320167	0.51415	0.2723327
9600	-290.0741	-279.5958	-10.47828	1.462932	0.018277	0.0162968	0.517495	0.447932	0.004706523
9800	-294.1411	-281.4769	-12.66421	1.415767	0.0816287	0.0205911	0.0513656	0.846415	0.2552075
10000	-298.7234	-285.2327	-13.49065	1.438043	0.0462656	0.19318	0.598473	0.162081	0.331098
10200	-293.1921	-283.0545	-10.13757	1.315157	0.06308	0.0339919	0.0575272	0.845401	0.1143532
10400	-292.7214	-277.5202	-15.2012	1.842041	0.00579825	0.0456555	0.077507	0.871039	0.09426272
10600	-294.2638	-279.629	-14.63482	1.634675	0.00309567	0.0158414	0.339942	0.641121	0.2413863
10800	-291.6666	-282.8172	-8.849388	1.294814	0.039974	0.0456761	0.166731	0.747619	0.009514239
11000	-291.2627	-279.8642	-11.39846	1.382214	0.049825	0.0317188	0.0199091	0.898547	0.1709597
11200	-290.2038	-280.1269	-10.07687	1.374858	0.0102436	0.00285438	0.928129	0.0587731	0.05147498
11400	-295.1694	-282.9541	-12.2153	1.557384	0.0227487	0.309344	0.503492	0.164416	0.07840037
11600	-290.839	-280.5741	-10.26494	1.371148	0.00811899	0.0826189	0.0946787	0.814583	0.07353932
11800	-297.4911	-279.227	-18.26409	2.027682	0.0910542	0.0735166	0.700271	0.135158	0.2173391
12000	-296.1762	-287.3887	-8.787446	1.246862	0.00171796	0.236425	0.562718	0.199139	0.04772075
12200	-296.7377	-280.4462	-16.2915	1.853972	0.104514	0.184317	0.348164	0.363006	0.1910309
12400	-295.1621	-284.9354	-10.22669	1.25587	0.0488206	0.158348	0.054035	0.738796	0.1763012
12600	-288.6297	-279.6012	-9.028555	1.263319	0.00137076	0.0294651	0.053418	0.915746	0.05707421
12800	-292.5706	-281.7638	-10.80689	1.244386	0.00414224	0.0874285	0.795965	0.112464	0.248378
13000	-290.6997	-280.046	-10.65373	1.347644	0.00924869	0.019095	0.527225	0.444431	0.1293736
13200	-291.4405	-280.2993	-11.14117	1.460077	0.0740493	0.0732651	0.121462	0.731223	0.07103339
13400	-291.8775	-279.4063	-12.47115	1.356982	0.0133397	0.0718153	0.180624	0.734221	0.2962357
13600	-290.8465	-278.0259	-12.8206	1.675653	0.0357687	0.0366938	0.80186	0.125678	0.02525285
13800	-295.9373	-282.825	-13.1123	1.698541	0.0101036	0.346416	0.122347	0.521133	0.03096944
14000	-292.3198	-280.6448	-11.67494	1.580363	0.00461828	0.28545	0.593756	0.116176	0.006934847
14200	-300.0434	-288.6472	-11.39621	1.321948	0.00820445	0.192416	0.323942	0.475437	0.2252368
14400	-290.2679	-279.5799	-10.68802	1.426009	0.0429103	0.0344289	0.176003	0.746658	0.0592186
14600	-295.4775	-281.2096	-14.26789	1.722419	0.126747	0.012967	0.832428	0.0278573	0.1193106
14800	-290.5962	-281.3501	-9.246122	1.313063	0.05602	0.0760077	0.442648	0.425325	0.0297434
15000	-293.019	-280.7643	-12.25475	1.52597	0.0511353	0.0849872	0.576938	0.28694	0.1150988
15200	-292.2695	-282.7306	-9.538943	1.343701	0.000203218	0.301121	0.688436	0.01024	0.02900306
15400	-289.6688	-281.6308	-8.03808	1.212414	0.029396	0.0336782	0.875732	0.0611941	0.01091651
15600	-289.7991	-279.8758	-9.923261	1.342441	0.0181061	0.0211269	0.445293	0.515474	0.06766598
15800	-291.7628	-278.5257	-13.23708	1.72605	0.0513842	0.0520967	0.260592	0.635927	0.01699487
16000	-290.7608	-279.094	-11.66677	1.512693	0.0355834	0.0380735	0.244096	0.682248	0.07230251
16200	-294.6449	-282.7973	-11.84761	1.538019	0.0802788	0.271209	0.130772	0.51774	0.06294141
16400	-289.2144	-278.1794	-11.03507	1.472203	0.0162851	0.0142194	0.0727397	0.896756	0.04944484
16600	-293.6377	-286.1497	-7.487971	1.07673	0.0250838	0.161417	0.210191	0.603308	0.08794573
16800	-288.063	-278.5355	-9.527523	1.350945	0.000440296	0.0337783	0.93418	0.0316012	0.0207281
17000	-292.5286	-281.2524	-11.2762	1.325044	0.0266316	0.0124849	0.398778	0.562105	0.2096346
