Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-333.1948	-315.482	-17.71276	1.792013	0.2142866
200	-330.9981	-308.3772	-22.62094	2.450521	0.05152099
400	-330.0374	-310.5426	-19.49473	2.15529	0.03373368
600	-332.3777	-311.569	-20.80866	2.318779	0.002780538
800	-332.1285	-310.3209	-21.80759	2.196688	0.2224967
1000	-331.4322	-307.4836	-23.94858	2.604701	0.02989362
1200	-331.3655	-314.2273	-17.13816	1.839698	0.1111442
1400	-331.3275	-313.0155	-18.31193	1.929345	0.1381264
1600	-334.8663	-317.7031	-17.16323	1.823249	0.1347888
1800	-332.8132	-308.6105	-24.20265	2.555743	0.1049703
2000	-330.9115	-311.0102	-19.90124	2.127847	0.1013861
2200	-334.612	-317.1145	-17.49747	1.855475	0.1305778
2400	-331.6711	-311.9126	-19.75851	2.076378	0.1346822
2600	-329.9461	-312.0611	-17.88503	2.009105	0.01955967
2800	-331.0123	-308.2478	-22.76447	2.450641	0.06461667
3000	-330.8291	-310.0227	-20.80639	2.291617	0.02904212
3200	-330.6819	-309.2705	-21.41133	2.326096	0.05427108
3400	-332.6364	-317.3052	-15.33116	1.729004	0.04343468
3600	-336.4196	-324.0888	-12.33082	1.469843	0.003936512
3800	-330.3173	-309.2535	-21.06383	2.320763	0.02624959
4000	-331.444	-314.4956	-16.94838	1.885782	0.04823943
4200	-334.5563	-311.0198	-23.53656	2.32183	0.2677065
4400	-331.8846	-308.7002	-23.18437	2.471105	0.08770858
4600	-330.0731	-311.3891	-18.68394	2.083907	0.02462678
4800	-330.5555	-310.2104	-20.3451	2.219222	0.05446679
5000	-331.524	-309.1565	-22.36748	2.312995	0.1611978
5200	-330.5603	-307.7762	-22.78402	2.507173	0.01174106
5400	-332.3079	-312.2058	-20.10209	2.205038	0.04424756
5600	-332.4315	-309.9619	-22.46959	2.241005	0.236543
5800	-330.4282	-308.584	-21.84426	2.404004	0.02071575
6000	-330.9277	-312.535	-18.39273	1.957357	0.1177957
6200	-330.8167	-314.3115	-16.5052	1.845763	0.04419091
6400	-336.5635	-312.7323	-23.83124	2.333903	0.2772454
6600	-330.0444	-309.2407	-20.80369	2.292495	0.02823316
6800	-331.0553	-309.8678	-21.18747	2.276679	0.08070572
7000	-333.248	-311.9545	-21.29345	2.225047	0.1393374
7200	-332.9238	-312.6436	-20.28017	2.207922	0.05974149
7400	-330.4222	-310.0464	-20.37584	2.240556	0.03762397
7600	-331.5872	-314.2974	-17.28982	1.958858	0.01066979
7800	-329.9071	-312.0707	-17.83635	2.01452	0.00972809
8000	-332.05	-315.3591	-16.69092	1.804122	0.1039827
8200	-333.0421	-308.5857	-24.45643	2.475717	0.206391
8400	-332.3935	-308.2685	-24.12505	2.415915	0.2335532
8600	-330.2545	-309.8494	-20.40514	2.233937	0.04584512
8800	-332.2078	-306.9206	-25.28719	2.674431	0.09267813
9000	-331.8251	-306.8405	-24.98454	2.653149	0.08342044
9200	-329.9989	-311.1787	-18.82021	2.08334	0.03800859
9400	-332.6728	-315.0976	-17.57523	1.846182	0.1472937
9600	-331.4209	-309.8841	-21.53674	2.229052	0.1632208
9800	-330.5357	-312.3499	-18.18574	1.983664	0.0731156
10000	-330.7738	-313.0232	-17.75064	1.988056	0.02684637
10200	-330.4595	-309.209	-21.25041	2.285115	0.07873449
10400	-330.7857	-313.0903	-17.69537	1.994691	0.01549632
10600	-333.5055	-307.6093	-25.89616	2.78937	0.03962577
10800	-331.6451	-309.2499	-22.39523	2.320746	0.154513
11000	-333.9765	-318.04	-15.93646	1.668059	0.1626325
11200	-332.4518	-314.5684	-17.88347	1.880268	0.1474614
11400	-331.7954	-309.2028	-22.59263	2.441433	0.05769203
11600	-331.2133	-307.58	-23.63327	2.559424	0.04402927
11800	-331.0574	-308.6118	-22.4456	2.461255	0.02366362
12000	-332.6028	-310.0579	-22.54494	2.435698	0.05821644
12200	-331.6024	-314.6919	-16.91051	1.896233	0.03457268
12400	-333.8326	-312.97	-20.86267	2.08088	0.2373231
12600	-331.5597	-311.5271	-20.03259	2.067638	0.1735906
12800	-331.5635	-310.0645	-21.49903	2.342483	0.04613718
13000	-333.7288	-310.433	-23.29577	2.376845	0.1843325
13200	-330.629	-310.6561	-19.97286	2.206909	0.03003512
13400	-333.6085	-311.9552	-21.65335	2.054647	0.3404972
13600	-330.5429	-313.5797	-16.96321	1.90201	0.03431654
