Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-296.2603	-291.6679	-4.592433	0.6238685	0.07708862
200	-295.7034	-291.156	-4.54744	0.5303284	0.1590214
400	-294.1674	-287.4585	-6.708975	0.8903595	0.02171533
600	-294.1409	-290.0283	-4.112523	0.6318493	0.01962744
800	-297.1734	-288.3997	-8.773743	0.8171144	0.304037
1000	-293.4419	-288.5466	-4.895293	0.7205196	0.009723256
1200	-300.8076	-298.5211	-2.286538	0.4339648	0.03402681
1400	-294.8126	-288.3193	-6.493218	0.7661069	0.1208085
1600	-295.8007	-290.2689	-5.531848	0.61387	0.1738751
1800	-293.4028	-288.6327	-4.770053	0.684827	0.03253052
2000	-293.95	-288.3547	-5.595329	0.7683058	0.03182772
2200	-295.2365	-290.3432	-4.893264	0.6472872	0.08222105
2400	-295.8324	-290.3193	-5.513047	0.751718	0.0399493
2600	-294.8491	-289.3472	-5.501853	0.7148723	0.07275828
2800	-298.6831	-292.3254	-6.357722	0.5537942	0.317269
3000	-294.0716	-288.0759	-5.995666	0.7389472	0.09975194
3200	-296.0821	-291.6963	-4.385785	0.6768217	0.002539738
3400	-296.069	-288.226	-7.843046	1.01162	0.01400916
3600	-297.1121	-289.2456	-7.866513	0.697575	0.3169958
3800	-298.7411	-293.8571	-4.884035	0.6803469	0.04854622
4000	-300.1024	-292.4533	-7.649045	0.9646156	0.04284607
4200	-296.0676	-290.9311	-5.136419	0.5469518	0.1966046
4400	-295.0403	-291.6093	-3.430986	0.5589516	0.02423577
4600	-294.8407	-288.2327	-6.607979	0.8710715	0.0306948
4800	-295.2645	-289.3734	-5.891115	0.6699711	0.1537828
5000	-295.6577	-288.4857	-7.172009	0.7676714	0.1923912
5200	-296.2731	-287.5994	-8.673686	1.021097	0.0895692
5400	-295.8552	-291.0941	-4.761158	0.6675144	0.0482752
5600	-295.3014	-288.9226	-6.378817	0.8032132	0.07388696
5800	-297.2707	-288.6354	-8.635304	1.016673	0.08703142
6000	-295.4974	-287.7612	-7.736191	0.9073105	0.1075159
6200	-296.625	-289.1106	-7.514455	0.7835005	0.203199
6400	-296.0108	-289.8412	-6.16955	0.6071256	0.2433459
6600	-295.6023	-288.1302	-7.472101	0.7681991	0.2171243
6800	-295.6041	-290.5907	-5.013316	0.6426185	0.09779018
7000	-295.089	-287.4687	-7.620304	0.9257259	0.07875106
7200	-293.4664	-289.2366	-4.229817	0.6370124	0.02594993
7400	-293.6926	-289.791	-3.901658	0.6067362	0.0236342
7600	-295.3501	-290.922	-4.428159	0.6431742	0.03904611
7800	-295.0036	-288.8957	-6.107819	0.8277429	0.02353688
8000	-293.6092	-288.7647	-4.844484	0.6919304	0.03324428
8200	-296.1551	-290.0964	-6.058673	0.7414521	0.1057242
8400	-295.0435	-290.3725	-4.671015	0.6470472	0.06064609
8600	-296.2179	-292.573	-3.644902	0.6017422	0.003468268
8800	-293.147	-288.393	-4.754011	0.7041213	0.01182492
9000	-294.8774	-290.7553	-4.122149	0.5738734	0.07807176
9200	-295.4718	-289.7484	-5.723383	0.6169761	0.1941705
9400	-295.1296	-289.722	-5.407607	0.7262278	0.0544104
9600	-295.6055	-291.5436	-4.061856	0.6384617	0.008383107
9800	-294.0154	-288.8766	-5.13886	0.6617125	0.09210069
10000	-293.7943	-288.7214	-5.072946	0.7117596	0.03584904
10200	-296.0248	-289.4284	-6.596323	0.7598241	0.1360717
10400	-294.9388	-291.3098	-3.628988	0.546349	0.05453169
10600	-294.36	-290.1263	-4.233762	0.6310834	0.03177074
10800	-294.2652	-290.2524	-4.012765	0.5811792	0.05769871
11000	-299.742	-292.6081	-7.133902	0.609139	0.3423363
11200	-294.482	-287.9719	-6.510111	0.8470419	0.04439433
11400	-296.9108	-293.4307	-3.480124	0.5033571	0.08170243
11600	-295.5298	-290.7162	-4.813521	0.5606024	0.1525548
11800	-293.5492	-289.8854	-3.663793	0.5976919	0.009039391
12000	-294.1695	-287.6859	-6.483684	0.8378166	0.05206982
12200	-299.0978	-294.0731	-5.024628	0.6115363	0.1321266
12400	-295.186	-291.0796	-4.106422	0.5838648	0.06368656
12600	-294.7183	-289.7061	-5.012148	0.7002923	0.04118332
12800	-297.3848	-293.3751	-4.009764	0.6350103	0.006367363
13000	-294.5446	-289.9156	-4.628942	0.694788	0.008740786
13200	-293.9845	-290.4782	-3.506224	0.5885499	0.002840115
13400	-296.8874	-288.9794	-7.907954	0.7573091	0.2668211
13600	-296.0805	-290.452	-5.628562	0.7503481	0.05140659
13800	-293.2041	-288.1818	-5.022326	0.714797	0.02779189
14000	-295.077	-289.7278	-5.349209	0.756043	0.01905436
14200	-295.3792	-287.967	-7.412216	0.9711594	0.01104204
14400	-294.077	-290.134	-3.943048	0.5946113	0.03838497
14600	-294.1531	-288.8125	-5.340677	0.6909402	0.0841341
14800	-295.708	-291.8159	-3.892087	0.5100966	0.1132679
15000	-294.0097	-290.3408	-3.668891	0.5945756	0.01295834
15200	-297.4483	-292.5252	-4.92308	0.6780434	0.0544027
15400	-294.9357	-290.1955	-4.740219	0.6650327	0.04711889
15600	-294.0679	-288.7948	-5.273049	0.7644401	0.003545012
15800	-294.7772	-289.4362	-5.340931	0.6747722	0.1007956
16000	-293.6311	-289.1477	-4.483389	0.63937	0.04925653
16200	-295.2905	-287.6366	-7.653911	0.8352529	0.173228
16400	-294.5942	-288.7026	-5.891589	0.7337505	0.09284128
16600	-294.1671	-290.4172	-3.749851	0.5642077	0.04959586
16800	-297.4819	-294.6425	-2.839454	0.4778709	0.04531198
17000	-296.1286	-289.5155	-6.613058	0.8482624	0.05183111
17200	-296.4198	-289.666	-6.753735	0.8700791	0.04581475
17400	-298.6323	-289.8789	-8.753442	0.8266297	0.2883027
17600	-297.3904	-291.8003	-5.590187	0.7463407	0.05190252
17800	-296.4308	-289.1317	-7.299114	0.733685	0.2287153
18000	-295.6953	-291.2111	-4.484169	0.5625235	0.1247121
18200	-294.4457	-290.332	-4.113672	0.5737524	0.07554006
18400	-295.315	-290.3452	-4.969755	0.6643473	0.07172419
18600	-293.6278	-289.483	-4.144809	0.6471708	0.007744163
18800	-296.8557	-291.9806	-4.875037	0.52584	0.1915982
19000	-293.6835	-289.4275	-4.256	0.6110575	0.05437515
19200	-294.3202	-290.9556	-3.364597	0.5659482	0.0109258
19400	-295.037	-290.2441	-4.792919	0.6892723	0.03012412
19600	-294.8635	-288.6028	-6.260741	0.833093	0.03298262
19800	-294.3774	-289.4227	-4.954639	0.6162031	0.1171005
20000	-294.7811	-290.2774	-4.503737	0.6153047	0.07260987
20200	-296.2195	-290.6827	-5.536733	0.5616129	0.221639
20400	-297.6082	-292.1745	-5.433689	0.614115	0.1647823
20600	-293.7004	-289.7404	-3.959999	0.6210265	0.01558967
20800	-295.1833	-290.0743	-5.108967	0.688701	0.0605117
21000	-294.5054	-290.0434	-4.461987	0.6586023	0.02819582
21200	-294.2368	-288.411	-5.825725	0.7146994	0.1071863
21400	-293.5585	-288.2317	-5.326808	0.725266	0.04734106
21600	-296.0052	-288.0505	-7.954617	0.8389273	0.1951424
21800	-294.406	-289.25	-5.156024	0.7040565	0.05001162
22000	-294.6274	-289.351	-5.276349	0.7234583	0.04445541
22200	-294.2026	-288.0595	-6.143066	0.8055722	0.04971446
22400	-297.2977	-290.3464	-6.951296	0.8282329	0.1107607
22600	-297.8049	-290.2982	-7.506736	0.7866044	0.1967679
22800	-298.1338	-291.0938	-7.039971	0.8418975	0.1056662
23000	-295.6292	-288.446	-7.183185	0.865711	0.09457818
23200	-294.4885	-291.1033	-3.385262	0.5474871	0.0302259
23400	-294.0617	-288.4648	-5.596905	0.7371788	0.06299362
23600	-296.6263	-293.2165	-3.409837	0.5720395	0.009713562
