Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-313.6338	-305.1711	-8.462701	0.9982745	0.08534343
200	-314.6903	-305.5841	-9.106163	0.9484269	0.1945367
400	-314.48	-306.3104	-8.169588	1.014424	0.04202516
600	-314.5115	-303.8076	-10.70392	1.292119	0.01906265
800	-316.8494	-306.9542	-9.895222	1.156198	0.07106419
1000	-314.677	-308.1389	-6.538016	0.8841301	0.009964872
1200	-314.2663	-304.3745	-9.891783	1.170914	0.05856477
1400	-316.2461	-307.8016	-8.444466	0.966329	0.1119924
1600	-314.7992	-303.943	-10.85621	1.257304	0.0679723
1800	-312.6958	-304.7923	-7.903496	0.9964232	0.033185
2000	-313.5988	-305.4396	-8.159152	1.032099	0.02375125
2200	-316.1989	-303.1852	-13.01373	1.468074	0.07393104
2400	-316.3051	-308.571	-7.734082	0.9362865	0.07309524
2600	-316.9462	-304.284	-12.66225	1.284578	0.2143163
2800	-316.1323	-305.0372	-11.09507	1.200628	0.1443166
3000	-314.0339	-304.9929	-9.041025	1.105881	0.03731139
3200	-312.969	-304.728	-8.241036	1.059236	0.005531532
3400	-316.0756	-305.5706	-10.50496	1.268625	0.02238679
3600	-314.7604	-305.2989	-9.461467	1.073013	0.1100871
3800	-316.8373	-306.0467	-10.79053	1.227936	0.08673707
4000	-319.0624	-311.7237	-7.33871	0.8024719	0.1593797
4200	-314.651	-307.2577	-7.393261	0.9650256	0.01428007
4400	-315.8274	-307.9495	-7.877942	0.9836098	0.04189749
4600	-313.5418	-303.1765	-10.36531	1.2319	0.04413238
4800	-313.7963	-303.2229	-10.57331	1.262955	0.03396861
5000	-315.1875	-303.2468	-11.9407	1.270079	0.161625
5200	-314.7346	-306.7446	-7.989961	0.924267	0.112319
5400	-314.2379	-306.5033	-7.734649	0.9475166	0.06459826
5600	-315.0174	-305.3971	-9.620342	1.033293	0.1606867
5800	-313.6137	-304.1548	-9.458922	1.168218	0.01788711
6000	-314.7597	-304.1024	-10.65729	1.20437	0.100114
6200	-316.9798	-309.8644	-7.115422	0.9216599	0.02829372
6400	-314.2912	-304.8222	-9.468952	1.130546	0.05488074
6600	-315.3043	-305.3032	-10.00111	1.16257	0.0758594
6800	-316.5683	-305.2245	-11.34384	1.196916	0.1790107
7000	-315.9621	-303.4118	-12.5503	1.261161	0.2274627
7200	-317.2752	-305.9217	-11.35354	1.25557	0.115254
7400	-314.3454	-306.7054	-7.640023	0.9566681	0.04603428
7600	-313.1383	-306.0431	-7.095191	0.925507	0.02354619
7800	-314.5209	-304.7544	-9.76654	1.008988	0.2003637
8000	-314.9102	-303.4345	-11.47568	1.332035	0.05459821
8200	-319.2394	-303.8594	-15.37998	1.634106	0.1407144
8400	-316.7821	-306.2162	-10.5659	1.094876	0.1909703
8600	-314.8301	-303.8614	-10.96872	1.220713	0.1121402
8800	-313.822	-304.7295	-9.09258	1.099786	0.04807861
9000	-315.2703	-308.2317	-7.038551	0.8775024	0.06400453
9200	-314.2729	-304.9478	-9.325039	1.097456	0.07364492
9400	-315.0548	-306.1319	-8.92288	1.02131	0.1084854
9600	-315.7677	-306.3233	-9.44442	1.101801	0.08127251
