Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-710.6967	-693.8475	-16.84928	0.2957554	0.986989	0.00521017	0.00780061	0.03520493
200	-713.3609	-695.6912	-17.66973	0.3380727	0.991214	0.00694972	0.0018366	0.06881258
400	-711.6482	-694.3569	-17.2913	0.2932571	0.990922	0.00785737	0.00122082	0.07314217
600	-710.6176	-693.8415	-16.77614	0.3024588	0.999088	0.000874802	3.74753e-05	0.02456072
800	-712.2039	-695.8499	-16.35399	0.2776836	0.994198	0.00573399	6.84781e-05	0.01034978
1000	-707.4915	-690.7978	-16.6937	0.3237334	0.998781	0.000835935	0.000383235	0.0007758833
1200	-711.0143	-694.6831	-16.33121	0.279162	0.998644	0.00065321	0.000703283	0.007423884
1400	-710.2914	-693.3567	-16.93468	0.3337978	0.995901	0.00161128	0.00248779	0.01241014
1600	-709.4177	-692.7206	-16.69714	0.3197859	0.998984	0.000679718	0.000335989	0.004211145
1800	-715.5188	-698.7809	-16.73788	0.2760697	0.991879	0.00169891	0.00642203	0.04247889
2000	-709.941	-692.9912	-16.94985	0.315823	0.984244	0.0108587	0.00489685	0.02771469
2200	-709.6786	-693.0624	-16.61611	0.3044886	0.996827	0.000485887	0.00268693	0.009930575
2400	-714.5694	-697.991	-16.57844	0.2986594	0.99691	0.00300943	8.0226e-05	0.01218074
2600	-713.8546	-696.9031	-16.95153	0.2951092	0.995926	0.00135936	0.00271452	0.04561339
2800	-722.8993	-705.5323	-17.367	0.314255	0.974104	0.00370198	0.022194	0.06367017
3000	-706.617	-689.936	-16.68101	0.3098295	0.995727	0.000469643	0.00380342	0.01123125
3200	-709.9297	-692.3364	-17.59334	0.2937893	0.995203	0.000728909	0.00406801	0.09695332
3400	-707.8781	-691.1003	-16.77783	0.3187003	0.995113	0.00198651	0.00290071	0.01184577
3600	-715.504	-696.4595	-19.04452	0.3155221	0.991789	0.00510179	0.00310955	0.2045441
3800	-711.1887	-692.0032	-19.18554	0.3023146	0.996941	5.52614e-06	0.0030538	0.2208864
4000	-709.766	-692.5761	-17.18986	0.2927433	0.994852	0.00147239	0.00367587	0.06403831
4200	-708.3827	-691.1055	-17.2772	0.3217299	0.989264	0.00274167	0.00799432	0.05083777
4400	-713.5907	-695.8637	-17.72701	0.3158224	0.996743	0.000772444	0.00248451	0.09150825
4600	-716.5156	-698.6101	-17.90548	0.2906235	0.996719	0.00275224	0.000528405	0.1250521
4800	-714.2704	-697.3911	-16.87921	0.3098575	0.975687	0.017165	0.00714817	0.02778503
5000	-711.4958	-694.767	-16.72883	0.3085001	0.99695	0.00289928	0.000150692	0.01577249
5200	-712.1528	-694.9447	-17.20814	0.3279935	0.994039	0.00291178	0.0030494	0.04052105
5400	-710.7338	-694.0656	-16.66821	0.3020975	0.993164	0.00255608	0.00427964	0.01614675
5600	-709.784	-692.6701	-17.11391	0.2992942	0.991047	0.00617066	0.00278185	0.05510786
5800	-712.815	-696.0551	-16.75988	0.3092553	0.99776	0.0021641	7.63998e-05	0.01798826
6000	-710.0256	-693.5509	-16.47475	0.3007626	0.991317	0.00514684	0.00353572	0.001609619
6200	-710.1078	-693.1404	-16.96738	0.2855527	0.986128	0.00872692	0.00514535	0.05274308
6400	-716.92	-699.7077	-17.21228	0.3279608	0.982121	0.00688956	0.0109892	0.03857368
6600	-709.1158	-691.5464	-17.56941	0.3066965	0.992656	0.00127418	0.0060694	0.08587286
6800	-708.9215	-692.513	-16.40844	0.2896155	0.991514	0.00700686	0.00147897	0.005216637
7000	-709.3354	-692.2007	-17.13469	0.2878216	0.995802	0.00294249	0.00125504	0.06780541
7200	-713.6544	-694.3627	-19.29163	0.3086734	0.992756	0.00385744	0.00338692	0.2167584
7400	-712.4859	-694.3679	-18.11802	0.261783	0.995086	0.00285046	0.00206381	0.1631376
7600	-709.0125	-692.581	-16.43147	0.2920954	0.996574	0.0022299	0.00119571	0.005253454
7800	-708.8498	-692.4058	-16.44399	0.268912	0.991238	0.00738589	0.0013766	0.02497506
8000	-721.524	-704.9313	-16.5927	0.3039735	0.97972	0.000797088	0.019483	0.008540569
8200	-707.2056	-690.5873	-16.6183	0.3161326	0.999174	0.000170337	0.000655192	0.0008219631
8400	-709.4036	-691.8837	-17.51989	0.3189803	0.999396	2.18776e-05	0.000582561	0.07109751
8600	-708.8861	-692.2332	-16.65291	0.3068421	0.993227	0.000690357	0.00608311	0.0110588
8800	-709.6535	-692.8337	-16.81972	0.2800315	0.996661	0.00292815	0.000411324	0.04690619
9000	-715.496	-697.6772	-17.8188	0.2608353	0.98607	0.00775428	0.00617526	0.1400551
9200	-708.2998	-691.1329	-17.16688	0.2801132	0.993953	0.00562374	0.000423507	0.07298219
9400	-708.3034	-691.0956	-17.20782	0.3069703	0.989192	0.00601138	0.00479666	0.05596237
9600	-717.1426	-699.2704	-17.87225	0.3376437	0.994981	0.00476946	0.000249305	0.08293828
9800	-710.3253	-692.8166	-17.50875	0.3028783	0.998815	0.000143598	0.00104163	0.08089685
10000	-715.9851	-695.2421	-20.74296	0.3121138	0.995217	0.00090988	0.00387269	0.327059
10200	-713.0187	-696.0966	-16.92209	0.2977546	0.989936	0.00273808	0.0073257	0.03963106
10400	-711.8584	-693.8968	-17.96155	0.3038198	0.993697	0.00479361	0.00150935	0.1245482
10600	-711.5439	-693.2141	-18.32986	0.2818058	0.997491	0.00124246	0.00126671	0.1596347
10800	-716.1943	-698.8227	-17.37154	0.3050062	0.980601	0.0173268	0.0020725	0.06892066
11000	-710.6423	-693.8499	-16.79239	0.3075411	0.998386	0.0014198	0.000194209	0.02137192
11200	-713.6809	-696.8223	-16.85861	0.2651029	0.991027	0.00430755	0.00466595	0.06017299
11400	-706.3461	-689.9998	-16.34622	0.2868039	0.998787	0.000772104	0.000441119	0.002541798
11600	-712.1819	-695.3822	-16.79971	0.2934939	0.998878	0.000436047	0.00068617	0.03427341
11800	-714.843	-695.6339	-19.20912	0.3271898	0.980883	0.0106496	0.00846706	0.1987337
12000	-711.1751	-694.684	-16.49109	0.2773854	0.980709	0.0113589	0.00793211	0.0211385
12200	-710.6893	-692.8901	-17.79914	0.3195586	0.993134	0.00242871	0.00443724	0.09142994
12400	-712.8388	-696.3727	-16.46612	0.2988831	0.979888	0.0169249	0.00318707	0.002395127
12600	-711.9134	-695.0513	-16.86215	0.2912899	0.981603	0.00846067	0.00993626	0.04085493
12800	-710.9973	-692.542	-18.45531	0.2980301	0.989949	0.00992518	0.0001256	0.158547
13000	-708.2039	-689.8692	-18.33472	0.2962406	0.996985	0.000519945	0.00249474	0.150787
13200	-712.9655	-694.8859	-18.07965	0.2954509	0.990228	0.00684999	0.00292189	0.1329171
