Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-735.1596	-716.6475	-18.51215	0.286505	0.1338558
200	-734.2688	-716.7841	-17.48468	0.3129122	0.01922026
400	-731.2032	-713.5998	-17.60344	0.3080656	0.03401569
600	-737.3359	-719.2289	-18.10699	0.2652449	0.1182567
800	-735.0646	-716.9427	-18.12196	0.3379785	0.05507123
1000	-738.3864	-719.1483	-19.23814	0.328363	0.1664857
1200	-743.0267	-725.5744	-17.45224	0.2713582	0.05553003
1400	-737.3981	-718.8311	-18.56702	0.3761729	0.06143182
1600	-737.0222	-718.596	-18.42617	0.3038662	0.116351
1800	-735.1012	-717.8682	-17.23303	0.3021628	0.006431322
2000	-736.5826	-717.7973	-18.7853	0.3831878	0.07388318
2200	-734.3936	-716.1268	-18.2668	0.334222	0.07229323
2400	-733.353	-715.727	-17.62605	0.2814315	0.06007889
2600	-737.2972	-719.104	-18.19319	0.2504029	0.1352342
2800	-741.9185	-722.2353	-19.68315	0.3065397	0.2252898
3000	-736.9142	-719.074	-17.84019	0.3053637	0.05748219
3200	-735.8652	-717.4819	-18.38332	0.3217918	0.09366444
3400	-739.9364	-722.4493	-17.48702	0.3268475	0.007394602
3600	-737.6549	-720.0562	-17.59868	0.2831785	0.05613069
3800	-736.8065	-719.6391	-17.16742	0.2780002	0.02268053
4000	-738.0263	-720.0615	-17.96482	0.3304192	0.04723104
4200	-732.4872	-714.504	-17.98324	0.3394866	0.04079588
4400	-735.6953	-717.4243	-18.27102	0.2753477	0.1228204
4600	-735.5806	-716.3623	-19.21827	0.3103374	0.1737977
4800	-737.8264	-719.2878	-18.53863	0.3413001	0.08913176
5000	-737.5589	-718.9277	-18.63121	0.3007039	0.1339557
5200	-732.5313	-714.5891	-17.94225	0.3115331	0.06441169
5400	-744.6035	-725.7659	-18.83762	0.3297579	0.1254961
5600	-746.3995	-726.4682	-19.93126	0.3093463	0.2495959
5800	-735.8505	-718.5339	-17.31666	0.3035682	0.01260504
6000	-736.7043	-718.0155	-18.68881	0.309929	0.1370742
6200	-741.5833	-723.9395	-17.64375	0.3124839	0.03350929
6400	-735.1177	-715.8995	-19.21818	0.3419804	0.1521126
6600	-739.404	-722.1177	-17.28634	0.2691901	0.041403
6800	-738.2079	-718.6839	-19.52399	0.2970068	0.2180149
7000	-734.9292	-717.295	-17.63421	0.2628283	0.07754605
7200	-737.175	-719.5833	-17.59164	0.2849566	0.05293355
7400	-743.6244	-726.6211	-17.00328	0.267665	0.01774412
7600	-737.4259	-717.5447	-19.88115	0.3932396	0.1695923
7800	-743.1968	-725.0083	-18.18851	0.3051323	0.09291997
8000	-734.4988	-717.0038	-17.49499	0.3184763	0.01515549
8200	-739.1096	-721.7517	-17.35792	0.2849196	0.03425522
8400	-736.0906	-716.977	-19.11359	0.2911494	0.1857076
8600	-739.3851	-721.9615	-17.42358	0.3193328	0.008256419
8800	-738.3971	-720.725	-17.67214	0.3286403	0.02251555
9000	-734.6896	-715.7403	-18.94928	0.3097244	0.1578423
9200	-731.1425	-713.2406	-17.90188	0.327387	0.0441157
9400	-733.4473	-715.0858	-18.3615	0.3081145	0.09872797
9600	-738.7328	-719.8897	-18.84316	0.3416162	0.1127112
9800	-735.1249	-718.0326	-17.09235	0.2907006	0.004198797
10000	-735.2935	-717.7445	-17.54906	0.315084	0.02387197
10200	-736.5788	-719.2899	-17.28892	0.2686619	0.04139232
10400	-734.3637	-715.5904	-18.77328	0.3221228	0.1280486
10600	-737.839	-720.8065	-17.03251	0.2184222	0.06397542
10800	-731.6558	-713.2963	-18.35953	0.2915777	0.1157865
11000	-738.8034	-721.4359	-17.36748	0.3201067	0.002385648
11200	-741.1028	-720.6509	-20.45189	0.3817712	0.2263161
11400	-731.2766	-713.5922	-17.68436	0.3266233	0.02503342
11600	-733.5229	-715.8944	-17.62852	0.2958241	0.04853821
11800	-735.2819	-716.7426	-18.53935	0.3263128	0.1009796
12000	-737.5617	-718.2633	-19.29841	0.3302102	0.1655364
12200	-734.5435	-716.617	-17.92657	0.3345489	0.04145142
12400	-735.3242	-717.2435	-18.08071	0.2958696	0.08945732
12600	-735.3824	-715.7366	-19.64584	0.3294442	0.1940341
12800	-740.042	-722.1526	-17.88943	0.3468154	0.02469929
13000	-734.6795	-717.5867	-17.0928	0.265137	0.02605913
13200	-735.5331	-717.7529	-17.78023	0.3583665	0.00513087
13400	-739.3439	-719.7397	-19.60417	0.3109051	0.2014216
13600	-735.4635	-715.9623	-19.50121	0.3031363	0.2044579
13800	-737.0931	-718.2903	-18.80285	0.3290297	0.1271476
14000	-737.3983	-719.3146	-18.08375	0.3057646	0.07923809
14200	-739.643	-720.3842	-19.25885	0.3654914	0.1272886
14400	-736.0293	-718.8228	-17.20642	0.2900851	0.01495622
14600	-735.4911	-717.4462	-18.04489	0.2857513	0.09867719
14800	-732.821	-714.6818	-18.13925	0.3247043	0.06768546
15000	-733.3135	-715.3938	-17.91976	0.3031858	0.06485734
15200	-733.445	-715.8118	-17.63316	0.3044053	0.04236219
15400	-736.6823	-716.0081	-20.67416	0.3282111	0.2867721
15600	-734.649	-716.0064	-18.64255	0.2946916	0.1403821
15800	-738.8567	-720.2212	-18.63547	0.3796846	0.06491233
16000	-732.6729	-715.2675	-17.40544	0.2860475	0.03730491
16200	-741.0676	-722.5686	-18.49897	0.2252487	0.1908437
16400	-742.7647	-723.8869	-18.87779	0.3924937	0.07853263
16600	-736.6778	-716.9574	-19.72038	0.2915341	0.233617
16800	-734.336	-716.6322	-17.70383	0.3143602	0.03806301
17000	-735.1116	-717.6336	-17.47799	0.3236949	0.009024196
17200	-737.4751	-717.7465	-19.72869	0.3107293	0.2212046
17400	-736.0191	-717.9631	-18.05594	0.3575697	0.02948917
17600	-739.4501	-721.1803	-18.26985	0.3990986	0.01279188
17800	-738.5552	-720.2089	-18.34631	0.3318417	0.07889702
18000	-732.2366	-713.5825	-18.65417	0.3074505	0.1269768
18200	-737.0293	-719.3189	-17.71038	0.3326093	0.02314337
18400	-736.3158	-718.4719	-17.84384	0.3018406	0.06269225
18600	-733.0201	-715.6626	-17.35752	0.3044417	0.01559043
18800	-734.5726	-717.4365	-17.1361	0.2897681	0.008693523
19000	-735.1828	-715.1229	-20.05989	0.2909874	0.2633126
19200	-737.7041	-721.079	-16.62508	0.2459978	0.002202215
19400	-733.0184	-715.0317	-17.98669	0.3014192	0.07548089
19600	-736.8161	-718.2041	-18.61198	0.2731887	0.1526159
19800	-738.4981	-719.703	-18.7951	0.2694643	0.1737675
20000	-739.805	-722.2709	-17.53409	0.325125	0.01304148
20200	-733.362	-715.5181	-17.84391	0.2789151	0.08231719
20400	-739.7009	-721.5669	-18.134	0.2846543	0.1018377
20600	-732.0576	-714.587	-17.4706	0.3039878	0.02516622
20800	-745.1873	-726.718	-18.46937	0.3438817	0.08090539
21000	-734.9316	-716.6824	-18.24918	0.2925474	0.1072392
21200	-742.4045	-721.3156	-21.08897	0.2807487	0.3791046
21400	-742.1091	-722.8688	-19.24029	0.3546254	0.1424831
21600	-739.8525	-721.9527	-17.89981	0.2448624	0.118679
21800	-734.0681	-714.3809	-19.68719	0.2841881	0.2380302
22000	-735.7892	-716.7394	-19.04979	0.2982793	0.1711864
22200	-733.7551	-716.3857	-17.36939	0.2839984	0.0362023
22400	-733.0319	-715.4969	-17.53496	0.3295519	0.008696757
22600	-734.4778	-716.7148	-17.76293	0.3003055	0.05432596
22800	-731.5836	-713.7341	-17.84948	0.3216741	0.04329382
23000	-733.9408	-716.3299	-17.61096	0.3240281	0.02118103
23200	-742.0852	-723.6817	-18.40353	0.2746285	0.1417567
23400	-733.2486	-715.2217	-18.02694	0.3022284	0.07715919
23600	-736.2037	-718.7112	-17.49247	0.3191708	0.01466702
23800	-732.819	-715.9186	-16.90039	0.2652639	0.009740001
24000	-738.1015	-719.8112	-18.29027	0.306035	0.09990155
24200	-736.3467	-718.6542	-17.69251	0.3305203	0.02190609
24400	-736.6458	-718.0567	-18.58908	0.3198109	0.1142331
24600	-736.1877	-717.3523	-18.83532	0.2624059	0.1868826
24800	-735.5739	-716.4984	-19.07549	0.3207023	0.1571855
25000	-735.9312	-718.1383	-17.79291	0.3178298	0.04233294
25200	-740.1904	-719.8606	-20.32983	0.3827857	0.2157004
25400	-737.1906	-720.0942	-17.09636	0.26863	0.02463538
25600	-738.2534	-720.3289	-17.92448	0.2762137	0.09381703
25800	-737.3094	-718.0647	-19.24467	0.3381124	0.1594345
26000	-739.2417	-718.5568	-20.68491	0.3374377	0.3022209
26200	-731.6377	-714.5592	-17.07849	0.2733254	0.01842227
26400	-732.5153	-715.3264	-17.18891	0.2833411	0.01919534
26600	-747.4136	-729.6335	-17.78011	0.2704064	0.08345043
26800	-736.2159	-716.9767	-19.23915	0.2743892	0.2059631
27000	-740.5836	-722.3154	-18.26825	0.3849339	0.02601343
27200	-737.0682	-719.4689	-17.59933	0.3331244	0.01161777
27400	-736.1551	-717.3828	-18.77225	0.3005903	0.1427839
27600	-731.0877	-713.7051	-17.38257	0.306071	0.01620384
27800	-736.6549	-719.4886	-17.16632	0.2868835	0.01439023
28000	-735.3202	-717.9883	-17.33188	0.3145951	0.003971382
28200	-735.0569	-716.7387	-18.31824	0.3074682	0.09917681
28400	-735.2411	-718.3912	-16.84993	0.2681737	0.002474166
28600	-734.3357	-715.6575	-18.67826	0.3288599	0.111983
28800	-740.2631	-720.3436	-19.91949	0.3803542	0.1747528
29000	-739.0968	-721.4773	-17.61945	0.3026842	0.04158334
29200	-734.4361	-716.5003	-17.93583	0.2972103	0.07701255
29400	-743.1527	-725.0286	-18.12417	0.338527	0.05714986
29600	-731.2883	-713.398	-17.8903	0.2866363	0.07874787
29800	-739.0113	-719.9694	-19.04199	0.3128464	0.1564965
30000	-736.0419	-718.6735	-17.36847	0.2838981	0.03637159
30200	-730.9083	-713.0833	-17.82496	0.3492022	0.01742035
30400	-735.8532	-717.4602	-18.393	0.3458638	0.07352581
30600	-738.0916	-720.978	-17.11364	0.2942655	0.002733481
30800	-737.3692	-719.8342	-17.53497	0.2881871	0.04703548
31000	-742.0651	-722.6595	-19.40562	0.2794988	0.218235
31200	-735.0508	-717.3958	-17.65503	0.2937809	0.05189156
31400	-739.8677	-719.4026	-20.46512	0.322798	0.276052
31600	-735.2278	-716.9444	-18.28334	0.3259057	0.07912248
31800	-739.1376	-721.5058	-17.63181	0.2906567	0.05383939
32000	-736.3648	-717.9829	-18.38191	0.330051	0.08261262
32200	-734.7003	-717.4306	-17.26962	0.2548082	0.05339853
32400	-733.6068	-716.0294	-17.57743	0.3358321	0.007085194
32600	-735.8164	-718.9475	-16.86888	0.2573626	0.01377962
32800	-734.4674	-716.374	-18.09346	0.3502775	0.04169725
33000	-733.7537	-716.345	-17.40871	0.2777032	0.0439086
33200	-732.1244	-714.6422	-17.48226	0.3298783	0.003894174
33400	-734.3793	-716.8995	-17.47985	0.3088506	0.02354045
33600	-735.4982	-718.0918	-17.40645	0.3023624	0.02226801
33800	-733.2457	-715.9341	-17.31161	0.3076035	0.008614744
34000	-736.3305	-718.7716	-17.55891	0.3233719	0.01686732
34200	-733.88	-716.2607	-17.61931	0.3213114	0.02415497
34400	-735.1936	-717.9171	-17.27646	0.3124665	0.001051836
34600	-735.1987	-718.0706	-17.12803	0.2750803	0.02108201
34800	-740.9399	-722.6964	-18.24351	0.3282483	0.07466331
35000	-734.2509	-716.5646	-17.68628	0.2729825	0.07275117
35200	-736.6184	-719.2923	-17.32608	0.2765091	0.03742354
35400	-735.6004	-716.274	-19.32636	0.3446962	0.1527291
35600	-737.0407	-719.4902	-17.55042	0.2271257	0.1002523
35800	-729.6337	-712.4837	-17.15003	0.2892188	0.01055314
36000	-737.6969	-719.6861	-18.0108	0.3642346	0.02050726
36200	-736.1653	-718.8607	-17.30461	0.2855448	0.02829689
36400	-735.0071	-717.754	-17.2531	0.2589688	0.04583587
36600	-737.0266	-719.511	-17.51562	0.2742554	0.05481653
36800	-733.2449	-715.3622	-17.88273	0.3046839	0.0624919
37000	-735.7913	-716.0019	-19.78942	0.3305789	0.2148766
37200	-732.8213	-714.4615	-18.35977	0.2898326	0.1158534
37400	-743.085	-722.0614	-21.0236	0.3520509	0.3109561
37600	-738.6825	-721.7782	-16.90432	0.2568913	0.01757239
37800	-738.8457	-719.3805	-19.46517	0.2953559	0.2129028
38000	-740.0151	-721.0489	-18.9662	0.3638884	0.105696
38200	-733.4828	-715.16	-18.32279	0.2921399	0.1158634
38400	-734.2017	-715.9078	-18.29384	0.3535771	0.05525747
38600	-742.5644	-723.0909	-19.47355	0.3202023	0.1968832
38800	-739.0967	-721.6352	-17.46143	0.2838614	0.04388169
39000	-740.3596	-723.2024	-17.15727	0.2845781	0.01503336
39200	-734.7432	-716.5406	-18.20266	0.3342253	0.06528003
39400	-734.9863	-717.1451	-17.84126	0.3362408	0.03025967
39600	-735.3051	-716.3031	-19.00192	0.2977119	0.1659484
39800	-735.7294	-717.8441	-17.88526	0.3046303	0.06226199
40000	-741.7164	-721.9941	-19.72223	0.3203949	0.2179909
40200	-735.1304	-717.5371	-17.59327	0.2941942	0.04677619
40400	-733.4518	-716.1829	-17.26882	0.3052673	0.006948145
40600	-732.3723	-714.9443	-17.42794	0.3255236	0.002949842
40800	-735.722	-718.176	-17.54596	0.3180541	0.02117089
41000	-737.0385	-719.1122	-17.92637	0.325027	0.04857941
41200	-734.1264	-715.4298	-18.69656	0.3398768	0.104614
41400	-730.9895	-713.8242	-17.16534	0.2880176	0.01296385
41600	-733.4425	-716.2112	-17.23128	0.3074741	0.001510567
41800	-736.7662	-719.4814	-17.28483	0.3068674	0.006575164
42000	-732.7316	-714.9623	-17.7693	0.2681217	0.08533572
42200	-736.2531	-718.124	-18.12916	0.316011	0.07439556
42400	-735.3234	-717.3987	-17.9247	0.330884	0.04332453
42600	-748.3416	-730.2473	-18.09429	0.3529002	0.03871255
42800	-734.5849	-716.9138	-17.67114	0.3196834	0.02922699
43000	-736.3376	-718.4545	-17.8831	0.3190592	0.0526149
43200	-739.7559	-721.8519	-17.90407	0.322219	0.05004519
43400	-735.6634	-716.4237	-19.23967	0.340897	0.1522084
43600	-739.8143	-722.8076	-17.00677	0.272566	0.0130999
43800	-733.7821	-715.8824	-17.89973	0.3112665	0.05718187
44000	-743.2613	-720.0297	-23.23154	0.350207	0.5014077
44200	-735.3987	-716.6667	-18.73198	0.2873865	0.1511884
44400	-735.9762	-715.7815	-20.19474	0.3205619	0.2580443
44600	-733.7297	-716.2713	-17.45833	0.2854685	0.04111047
44800	-735.8896	-717.7635	-18.12617	0.3005823	0.08658646
45000	-742.1597	-723.2081	-18.95165	0.3455254	0.1238307
45200	-735.2272	-717.9075	-17.31967	0.2903544	0.02491706
45400	-737.3522	-715.2218	-22.13041	0.2790293	0.4507248
45600	-734.4407	-716.4624	-17.97827	0.3158534	0.05974018
45800	-736.4064	-715.4431	-20.96335	0.2810596	0.3557084
46000	-736.3063	-717.2072	-19.09915	0.3298573	0.1470512
46200	-738.5908	-720.804	-17.78682	0.3207348	0.03817712
46400	-739.0074	-720.883	-18.12433	0.280211	0.108488
46600	-734.0593	-715.9791	-18.0802	0.3126194	0.07269702
46800	-732.1866	-714.9273	-17.25934	0.301212	0.009695119
47000	-733.5428	-716.0611	-17.48175	0.2917064	0.03839093
47200	-734.0653	-716.4922	-17.57316	0.3056218	0.03369248
47400	-733.5077	-715.8654	-17.64232	0.3137744	0.03341581
47600	-741.0482	-721.4823	-19.56595	0.3499547	0.1748905
47800	-737.9538	-718.9622	-18.99155	0.3026774	0.1665017
48000	-738.1972	-719.3655	-18.83161	0.3264684	0.1255726
48200	-733.4579	-716.0957	-17.36218	0.2873279	0.03275079
48400	-735.1122	-716.4584	-18.65384	0.2965055	0.1385241
48600	-732.9593	-714.9618	-17.99751	0.3211168	0.06073535
48800	-738.9612	-720.5719	-18.38928	0.2885911	0.1207737
49000	-737.0291	-719.5616	-17.46746	0.2787166	0.0519528
49200	-733.8959	-715.1622	-18.73366	0.2993054	0.1388482
49400	-739.9681	-720.5093	-19.45886	0.303905	0.2093588
49600	-739.7611	-722.0592	-17.70197	0.3543084	0.001653479
49800	-734.2062	-716.7434	-17.46273	0.3002337	0.02906897
50000	-731.7454	-714.7291	-17.01629	0.274552	0.01159737
50200	-734.2418	-717.4918	-16.75001	0.2534029	0.00675721
50400	-738.3104	-720.455	-17.85534	0.2974702	0.07090586
50600	-735.2699	-718.3117	-16.95818	0.2688298	0.01155593
50800	-744.5996	-727.257	-17.34263	0.289075	0.02810696
51000	-733.0867	-716.1029	-16.9838	0.2410054	0.0384422
51200	-732.8904	-714.8665	-18.02389	0.329054	0.05342496
51400	-738.3572	-718.8505	-19.50663	0.3096198	0.2065778
51600	-734.0747	-716.4918	-17.58283	0.286289	0.05233356
51800	-742.2752	-721.842	-20.43317	0.3850419	0.2304795
52000	-738.3269	-720.0039	-18.32301	0.3422577	0.06555159
52200	-733.4718	-715.8626	-17.6092	0.3401705	0.005925651
52400	-733.6253	-715.7536	-17.87167	0.3308576	0.037758
52600	-739.5331	-719.9044	-19.62863	0.3347153	0.1894538
52800	-742.7207	-722.7282	-19.99251	0.2576011	0.3004109
53000	-739.3718	-721.9807	-17.39113	0.324396	0.0006539628
53200	-735.3109	-718.1273	-17.18366	0.2783492	0.02284899
53400	-734.1679	-715.6953	-18.47262	0.2746045	0.1426597
53600	-734.34	-717.1318	-17.2082	0.288935	0.01611955
53800	-742.6085	-722.837	-19.77149	0.402056	0.1478253
54000	-737.0409	-717.4137	-19.62723	0.3246606	0.2026706
54200	-738.3974	-719.45	-18.9474	0.3783613	0.09378563
54400	-732.3905	-714.9258	-17.46467	0.2950751	0.03387881
54600	-739.2979	-717.5437	-21.7542	0.3444595	0.3708651
54800	-734.9924	-717.2978	-17.69455	0.3108792	0.04027107
