Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-682.2009	-663.5457	-18.65524	0.3825438	0.06116048
200	-685.336	-666.5851	-18.75097	0.3452302	0.1111557
400	-683.2322	-665.1602	-18.07197	0.3564588	0.03222925
600	-686.6788	-664.0833	-22.59555	0.3261132	0.4727903
800	-681.1119	-662.2177	-18.89425	0.3384697	0.1171603
1000	-688.2887	-670.1605	-18.12823	0.387371	0.01052052
1200	-679.3204	-660.9843	-18.3361	0.3791735	0.03532713
1400	-678.8064	-660.9797	-17.82664	0.3262984	0.03774136
1600	-685.7668	-666.3419	-19.42484	0.3161814	0.1852028
1800	-678.003	-660.3184	-17.68464	0.3398866	0.01256368
2000	-687.4166	-669.4077	-18.00895	0.3056301	0.07308492
2200	-681.7425	-663.3621	-18.38036	0.3323736	0.08187696
2400	-680.408	-662.1667	-18.24125	0.3450546	0.05894982
2600	-678.4955	-660.8224	-17.67316	0.3126589	0.03577052
2800	-687.7696	-668.8273	-18.94232	0.3004976	0.1643126
3000	-685.7934	-667.797	-17.99642	0.3480228	0.03357857
3200	-683.6409	-665.339	-18.30191	0.3808159	0.03174101
3400	-681.9474	-664.3006	-17.64689	0.3288462	0.01909468
3600	-682.172	-661.5809	-20.59109	0.348047	0.2564879
3800	-686.8335	-668.3166	-18.51684	0.3545875	0.07366855
4000	-684.3991	-664.7462	-19.65293	0.3379023	0.1894425
4200	-681.7131	-662.3846	-19.32859	0.304915	0.184719
4400	-686.588	-667.8862	-18.70177	0.3191212	0.1209011
4600	-681.1523	-662.4049	-18.74742	0.3455695	0.1023665
4800	-679.5316	-661.8521	-17.67952	0.3255214	0.02562801
5000	-684.1131	-666.6499	-17.4632	0.3254331	0.006098964
5200	-683.0703	-665.3602	-17.71015	0.3004073	0.04946611
5400	-684.4662	-664.9047	-19.56155	0.370381	0.1507835
5600	-684.3078	-666.8378	-17.46996	0.3185504	0.01338514
5800	-684.4041	-666.7549	-17.64912	0.2808254	0.0612553
6000	-680.9546	-663.4766	-17.47802	0.3276716	0.005694083
6200	-678.5625	-661.4559	-17.10661	0.2763451	0.01742972
6400	-683.0008	-665.0471	-17.9537	0.364254	0.01543407
6600	-689.0946	-668.9808	-20.11384	0.3866306	0.1899385
6800	-682.011	-664.955	-17.05598	0.277518	0.01231521
7000	-683.5854	-663.8651	-19.72036	0.3909251	0.1465987
7200	-683.5149	-665.0617	-18.45323	0.3888088	0.03930086
7400	-686.412	-668.5525	-17.85947	0.3407838	0.02661356
7600	-684.9012	-665.6711	-19.23004	0.3718647	0.1229729
7800	-683.3549	-665.8791	-17.47582	0.3286585	0.00434683
8000	-683.2373	-664.5547	-18.6826	0.3471082	0.0959694
8200	-679.7278	-661.7018	-18.02599	0.3620096	0.02351935
8400	-683.6932	-665.4124	-18.28084	0.3584306	0.05015589
8600	-683.106	-665.5485	-17.55751	0.3098091	0.02821039
8800	-689.2657	-671.034	-18.23175	0.3791229	0.02660302
9000	-681.5106	-663.3527	-18.15783	0.3081052	0.08483835
9200	-684.1324	-666.137	-17.99545	0.3177029	0.06046858
9400	-684.9743	-664.9731	-20.00111	0.34602	0.2116464
9600	-682.8676	-665.0006	-17.86695	0.3180366	0.04841239
9800	-684.2314	-666.6067	-17.62474	0.3412131	0.006553301
10000	-681.005	-661.9484	-19.05656	0.3306577	0.1374632
10200	-684.9328	-667.0666	-17.86614	0.3343308	0.03360043
10400	-683.9918	-665.6687	-18.32309	0.3234969	0.08318196
10600	-685.8544	-667.4412	-18.41324	0.3471535	0.07038257
10800	-691.0373	-672.7342	-18.30302	0.3388365	0.06830651
11000	-679.6762	-661.9484	-17.72777	0.3411931	0.01514189
11200	-686.4787	-668.2148	-18.26385	0.3031445	0.09460149
11400	-687.6382	-669.4969	-18.14129	0.3399172	0.05344568
11600	-684.1873	-664.7543	-19.433	0.4199084	0.0992588
11800	-682.9929	-664.5142	-18.47866	0.4071609	0.02484613
12000	-683.2698	-665.2162	-18.05361	0.3275076	0.05862272
12200	-681.443	-663.0546	-18.38835	0.3818766	0.03738126
12400	-679.4516	-662.1406	-17.31096	0.3123563	0.004125802
12600	-688.0313	-668.935	-19.09635	0.4470758	0.04434414
12800	-685.14	-667.6698	-17.4702	0.3025348	0.02597874
13000	-683.6715	-666.0675	-17.60405	0.338681	0.00690476
13200	-681.1559	-663.3683	-17.78764	0.3480652	0.01514396
13400	-680.3445	-661.7685	-18.57603	0.3899129	0.04746886
13600	-689.7199	-669.7127	-20.00723	0.4150942	0.1625188
13800	-681.1548	-663.0567	-18.0981	0.3220762	0.06319046
14000	-684.191	-665.9739	-18.21702	0.3421546	0.05820305
14200	-686.4424	-668.4537	-17.98876	0.3165803	0.06005808
14400	-687.8172	-666.3992	-21.41796	0.3770288	0.3053983
14600	-679.0487	-660.9437	-18.10492	0.3494564	0.04051764
14800	-683.4043	-664.0136	-19.39073	0.3161516	0.1863907
15000	-683.2274	-664.5075	-18.71986	0.3844272	0.06368442
15200	-693.1227	-675.3666	-17.75602	0.3376957	0.02025224
15400	-682.7761	-664.242	-18.53411	0.3012616	0.1208354
15600	-682.7367	-665.3328	-17.40395	0.3052826	0.01833064
15800	-687.7336	-668.8324	-18.90119	0.3059463	0.1510952
16000	-683.5522	-663.407	-20.14518	0.3493463	0.232602
16200	-683.8304	-665.5636	-18.26684	0.3187182	0.08260936
16400	-681.7356	-662.0257	-19.7099	0.3454676	0.1862572
16600	-682.965	-664.8509	-18.11407	0.3483281	0.04346305
16800	-684.8885	-666.7944	-18.09418	0.3264158	0.06248207
17000	-682.2362	-664.6129	-17.62333	0.3141607	0.03188494
17200	-683.9372	-664.2512	-19.68596	0.4165275	0.1229675
17400	-685.0102	-666.5004	-18.50982	0.3525629	0.07589469
17600	-688.1885	-666.8639	-21.32455	0.4605916	0.2187057
17800	-683.3195	-664.3166	-19.00287	0.3178873	0.1497717
18000	-686.6873	-666.041	-20.6464	0.3506904	0.2720576
18200	-685.1671	-666.7271	-18.44003	0.4070338	0.02178314
18400	-682.7731	-664.6912	-18.08182	0.3717963	0.0202053
18600	-683.3372	-664.8208	-18.51644	0.3565088	0.07130577
18800	-680.6862	-662.2924	-18.39381	0.3843023	0.03638708
19000	-682.0157	-664.4026	-17.61308	0.3410302	0.005677907
19200	-686.1413	-667.4809	-18.66037	0.3565353	0.08554886
19400	-684.3132	-665.9699	-18.34327	0.2926508	0.1114023
19600	-683.7733	-663.8786	-19.89469	0.3009754	0.2325537
19800	-679.1049	-661.4116	-17.69338	0.3143114	0.03572876
20000	-681.3665	-663.2905	-18.07602	0.3758104	0.01575412
20200	-680.8758	-662.2364	-18.6394	0.3463135	0.0933239
20400	-682.2508	-664.789	-17.46178	0.3055952	0.02352014
20600	-685.7598	-667.6753	-18.08452	0.3437475	0.04588941
20800	-680.1138	-662.1225	-17.9913	0.3469924	0.03263671
21000	-683.0019	-663.9753	-19.02658	0.3528555	0.1168836
21200	-681.5021	-663.182	-18.32013	0.3257299	0.08250845
21400	-686.4461	-668.8989	-17.54711	0.328557	0.01084961
21600	-684.1905	-665.2837	-18.90681	0.3461789	0.1192356
21800	-681.0742	-663.5738	-17.50035	0.2932455	0.03791867
22000	-683.4014	-665.125	-18.27637	0.3337451	0.06950068
22200	-682.1106	-663.9446	-18.16605	0.3150348	0.07861126
22400	-686.8226	-668.0059	-18.81666	0.3753293	0.0823682
22600	-679.6018	-660.8913	-18.71049	0.383679	0.06427001
22800	-687.997	-669.3461	-18.65097	0.3286426	0.1164217
23000	-684.6013	-667.6574	-16.94392	0.2602087	0.0180635
23200	-681.0541	-662.9327	-18.12141	0.3119663	0.07398095
23400	-681.436	-663.8298	-17.60622	0.3369852	0.008498156
23600	-684.1102	-664.9187	-19.19159	0.4364112	0.061274
23800	-681.6969	-661.7515	-19.94537	0.3109979	0.2330261
24000	-680.6166	-662.8332	-17.78343	0.3304719	0.03047309
24200	-680.1687	-662.7363	-17.43245	0.2994804	0.02650915
24400	-680.8316	-663.4193	-17.41233	0.286325	0.03656625
24600	-678.2957	-661.1892	-17.10651	0.2788908	0.01576444
24800	-683.1717	-665.6112	-17.56054	0.3294054	0.01078387
25000	-681.109	-663.79	-17.31904	0.2924178	0.02234207
25200	-682.7324	-664.3006	-18.43184	0.4200372	0.008121164
25400	-681.696	-663.2964	-18.39963	0.3178175	0.09735402
25600	-686.7417	-668.4197	-18.32198	0.354221	0.05964639
25800	-685.7957	-667.4995	-18.29615	0.3608463	0.0480582
26000	-681.2084	-662.1772	-19.03119	0.3064351	0.1601763
26200	-680.5893	-662.7249	-17.86438	0.2902809	0.07132364
