Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-655.0557	-638.0814	-16.97436	0.3250191	0.982178	0.010669	0.00715269	0.02250397
200	-650.7415	-632.9708	-17.77069	0.3203706	0.992796	0.00250129	0.00470303	0.09254675
400	-648.4443	-630.5794	-17.86483	0.3246608	0.995533	0.000774883	0.00369195	0.09423433
600	-652.9995	-634.6851	-18.31439	0.2739694	0.995049	0.00086817	0.00408306	0.1762777
800	-649.0792	-632.4065	-16.67277	0.3177785	0.99541	0.000624741	0.00396564	0.003809305
1000	-649.686	-633.0826	-16.6034	0.2921586	0.991882	0.00585918	0.00225907	0.01963175
1200	-649.9435	-631.6739	-18.26954	0.3188897	0.995485	0.00364318	0.000871336	0.1296079
1400	-652.0224	-632.7236	-19.29882	0.3083247	0.992846	0.000988232	0.00616591	0.2243114
1600	-649.3597	-631.3893	-17.97034	0.3580708	0.998274	0.00110355	0.000622866	0.08139462
1800	-649.9887	-633.1463	-16.8424	0.3290954	0.991328	0.00223851	0.0064334	0.008719612
2000	-654.9745	-637.9878	-16.98672	0.3042251	0.971429	0.0210683	0.00750235	0.04047968
2200	-648.3411	-630.7012	-17.63988	0.3120027	0.995093	0.00437641	0.000530461	0.08539869
2400	-651.1268	-632.8371	-18.28976	0.3508791	0.992432	0.00314066	0.00442727	0.1104367
2600	-652.6871	-635.6798	-17.00734	0.3400098	0.994612	0.00351304	0.0018747	0.01304959
2800	-648.7186	-631.0657	-17.65288	0.3437653	0.996946	0.00113739	0.00191646	0.06388757
3000	-647.4957	-630.7595	-16.73615	0.2877223	0.997909	0.00111252	0.000978666	0.03323628
3200	-657.133	-636.8001	-20.3329	0.3192457	0.99661	0.000431115	0.00295931	0.3090852
3400	-654.7355	-637.2692	-17.46631	0.3029633	0.996227	0.00142307	0.00234979	0.07862171
3600	-650.5547	-633.3048	-17.24989	0.3065646	0.990997	0.00876357	0.000239161	0.06096975
3800	-654.9069	-636.941	-17.96587	0.3518319	0.991659	0.00356976	0.00477132	0.08027333
4000	-649.3355	-631.413	-17.92251	0.3359844	0.990256	0.000247244	0.00949702	0.0954463
4200	-644.3113	-626.4376	-17.87378	0.3366549	0.999252	0.000557483	0.000190863	0.08596735
4400	-655.3675	-638.1836	-17.18387	0.3249562	0.985397	0.0102782	0.00432446	0.04058365
4600	-650.844	-633.9241	-16.91992	0.3073556	0.980471	0.00634651	0.013183	0.03228686
4800	-653.8364	-636.7098	-17.1266	0.3272594	0.995468	0.00257146	0.00196076	0.03325099
5000	-658.3433	-641.2804	-17.06296	0.298742	0.994666	0.000407523	0.00492667	0.05114154
5200	-651.6177	-635.1871	-16.43058	0.2788712	0.994995	0.00134077	0.00366441	0.01589585
5400	-650.9123	-633.7447	-17.16759	0.3083336	0.998045	0.00150671	0.000448769	0.05276784
5600	-653.4268	-635.9584	-17.46838	0.3376622	0.9992	0.000216341	0.000583983	0.05362184
5800	-649.8856	-632.0184	-17.86727	0.3107771	0.999477	0.00019075	0.000332517	0.1062671
6000	-651.4825	-634.6778	-16.80476	0.3294783	0.988294	0.00527214	0.00643403	0.005078231
6200	-653.5056	-636.8808	-16.62477	0.3075302	0.995817	0.00376143	0.00042112	0.008253247
6400	-648.2253	-631.489	-16.73623	0.3156015	0.995273	0.0021497	0.00257735	0.01072424
6600	-658.328	-639.7347	-18.59332	0.3637	0.980549	0.016858	0.00259275	0.1265094
6800	-652.6226	-635.6041	-17.01856	0.2859257	0.992567	0.00673105	0.000702177	0.0582779
7000	-650.8204	-634.0017	-16.81863	0.3062679	0.996914	0.000961976	0.00212397	0.02417442
7200	-655.3811	-636.9221	-18.45894	0.3199893	0.995708	0.00391754	0.000374193	0.1527493
7400	-650.502	-633.8292	-16.67275	0.2943905	0.991383	0.000406046	0.00821069	0.02244518
7600	-650.1113	-632.7686	-17.34273	0.3039666	0.997713	0.00176245	0.000524583	0.07072498
7800	-650.343	-633.0221	-17.32085	0.3079771	0.998756	0.000497971	0.000746351	0.06696726
8000	-651.257	-634.1934	-17.06365	0.3161132	0.986501	0.0113016	0.00219741	0.03571087
8200	-654.5668	-637.2829	-17.28383	0.3608486	0.981404	0.0172233	0.00137284	0.0186974
8400	-651.7819	-634.3492	-17.43272	0.3157932	0.999349	0.000397095	0.00025376	0.06732348
8600	-652.1064	-635.5822	-16.52423	0.3017135	0.998224	0.000250105	0.00152615	0.005121216
8800	-654.2965	-635.7449	-18.55165	0.3137596	0.990768	0.00596094	0.00327137	0.1562524
9000	-659.2492	-641.1203	-18.1289	0.3846845	0.998254	0.0016705	7.58687e-05	0.0704322
9200	-656.4836	-638.0734	-18.41015	0.3026514	0.994344	0.000924506	0.00473145	0.1641046
9400	-655.0304	-637.5589	-17.4715	0.3474924	0.995017	0.00358419	0.00139905	0.04620335
9600	-647.2744	-629.9584	-17.31604	0.304421	0.994743	0.00247391	0.00278293	0.0681686
9800	-653.5016	-635.7324	-17.76924	0.3124147	0.997474	0.000696854	0.00182939	0.09812387
10000	-654.2363	-637.7923	-16.44396	0.2738554	0.989062	0.00322979	0.00770858	0.02104262
10200	-646.679	-628.8601	-17.81883	0.3227388	0.999613	7.73835e-05	0.000309944	0.091716
10400	-648.1586	-629.3914	-18.76728	0.3022985	0.997475	0.00211665	0.000408141	0.1815604
10600	-649.5207	-632.6416	-16.87907	0.3337932	0.994441	0.00351554	0.00204316	0.008070435
10800	-651.636	-633.9564	-17.67959	0.3221464	0.990917	1.83414e-05	0.00906429	0.08192128
11000	-648.6446	-631.5482	-17.09641	0.2825631	0.989592	0.00220212	0.00820609	0.06559866
11200	-652.62	-634.7914	-17.82851	0.3185381	0.982204	0.0146057	0.00319053	0.09973285
11400	-650.1742	-633.5082	-16.66602	0.3115196	0.995909	0.000121179	0.0039702	0.008621505
11600	-648.4393	-628.9921	-19.44722	0.3059909	0.998295	0.00112995	0.000574913	0.244134
11800	-646.9081	-629.6935	-17.21459	0.3148282	0.998472	0.000537685	0.000990455	0.04986572
12000	-651.1633	-633.8561	-17.30716	0.3341327	0.995202	2.24139e-05	0.00477596	0.04278989
12200	-653.2108	-635.7835	-17.42732	0.3197472	0.997493	0.00171157	0.000795193	0.06346457
12400	-654.5579	-637.062	-17.49589	0.2991626	0.980765	0.00751294	0.0117221	0.08634041
12600	-650.0791	-632.5839	-17.4952	0.2993506	0.989101	0.00479771	0.00610084	0.08428126
12800	-648.8151	-631.1427	-17.6724	0.3089476	0.997369	0.000170272	0.00246054	0.09412476
13000	-650.2435	-632.7195	-17.52402	0.3482329	0.999555	3.56286e-05	0.000409693	0.05157146
13200	-655.1076	-636.7745	-18.33314	0.2753865	0.983874	0.0160711	5.48345e-05	0.1695466
13400	-659.232	-641.661	-17.57107	0.3245121	0.977353	0.0169395	0.00570779	0.06989361
13600	-659.0784	-637.7148	-21.3636	0.3272028	0.989416	0.00963123	0.00095272	0.3808224
13800	-651.9629	-633.3528	-18.61006	0.3277332	0.997832	0.000325706	0.00184235	0.1516622
14000	-655.3857	-636.2286	-19.15706	0.2876115	0.992586	0.00697862	0.000435584	0.2264995
14200	-654.2205	-636.8365	-17.38402	0.344855	0.996564	0.00328782	0.000148198	0.03921136
14400	-651.0086	-634.4847	-16.52387	0.2982612	0.984605	0.00197811	0.0134171	0.007491438
14600	-654.7677	-637.7105	-17.05714	0.3142854	0.979053	0.0178654	0.00308117	0.03828896
14800	-654.521	-636.9387	-17.58236	0.3160338	0.997291	0.00162146	0.00108796	0.07607565
15000	-652.869	-635.2789	-17.59009	0.330949	0.989328	0.000716764	0.0099557	0.07049261
15200	-652.672	-632.3082	-20.36376	0.3151246	0.99157	0.00829724	0.000132326	0.3203965
15400	-653.5297	-635.9119	-17.61781	0.3086909	0.989974	0.00478151	0.00524431	0.08639593
15600	-651.7769	-635.0948	-16.68212	0.3228869	0.995979	0.00198456	0.00203628	0.0005225817
15800	-652.2702	-632.7688	-19.50141	0.3120694	0.9961	0.00138632	0.00251349	0.2406949
16000	-653.2334	-634.6125	-18.6209	0.3424495	0.995743	0.0025282	0.00172845	0.1406049
