Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-316.0076	-306.7818	-9.225784	1.632137	0.607371	0.335628	0.051786	0.00521548	0.1206531
10	-317.0262	-313.9932	-3.033059	1.085284	0.607371	0.335628	0.051786	0.00521548	0.04311975
20	-314.2375	-307.6321	-6.605426	1.363676	0.607371	0.335628	0.051786	0.00521548	0.1274362
30	-317.313	-314.3707	-2.942262	0.979932	0.607371	0.335628	0.051786	0.00521548	0.1363563
40	-314.2323	-312.0846	-2.147768	0.9583257	0.607371	0.335628	0.051786	0.00521548	0.08414784
50	-317.2368	-315.4549	-1.781884	0.8302322	0.607371	0.335628	0.051786	0.00521548	0.1737526
60	-314.2787	-310.6266	-3.652144	1.028243	0.607371	0.335628	0.051786	0.00521548	0.1659028
70	-313.6372	-310.5228	-3.114395	1.071515	0.607371	0.335628	0.051786	0.00521548	0.06592402
80	-314.2149	-308.1838	-6.031086	1.273315	0.607371	0.335628	0.051786	0.00521548	0.1612835
90	-314.0974	-309.8231	-4.274222	1.213103	0.607371	0.335628	0.051786	0.00521548	0.03956937
100	-317.6566	-312.2745	-5.382002	0.9427402	0.607371	0.335628	0.051786	0.00521548	0.4257928
110	-313.4026	-309.1382	-4.264389	1.212911	0.607371	0.335628	0.051786	0.00521548	0.03985762
120	-321.2872	-308.4866	-12.80067	1.791358	0.607371	0.335628	0.051786	0.00521548	0.3171775
130	-319.183	-309.7903	-9.392699	1.507654	0.607371	0.335628	0.051786	0.00521548	0.2722205
140	-315.9692	-309.5714	-6.397764	1.314859	0.607371	0.335628	0.051786	0.00521548	0.153462
150	-315.5042	-308.2078	-7.296336	1.335904	0.607371	0.335628	0.051786	0.00521548	0.2270094
160	-315.1744	-312.8049	-2.369498	0.9230706	0.607371	0.335628	0.051786	0.00521548	0.143307
170	-318.4852	-309.2809	-9.204326	1.689581	0.607371	0.335628	0.051786	0.00521548	0.05687106
180	-314.7216	-310.4676	-4.25409	1.130642	0.607371	0.335628	0.051786	0.00521548	0.1227722
190	-313.3853	-311.7536	-1.631754	0.9663271	0.607371	0.335628	0.051786	0.00521548	0.02207116
200	-315.1042	-314.5412	-0.5630009	0.8441709	0.607371	0.335628	0.051786	0.00521548	0.03712013
210	-320.4176	-320.6154	0.1977144	0.7668764	0.607371	0.335628	0.051786	0.00521548	0.037927
220	-317.2094	-306.6352	-10.57428	1.854954	0.607371	0.335628	0.051786	0.00521548	0.02889661
230	-318.4712	-312.583	-5.8882	1.323827	0.607371	0.335628	0.051786	0.00521548	0.09314382
240	-316.5588	-309.5366	-7.022264	1.485757	0.607371	0.335628	0.051786	0.00521548	0.0408706
250	-313.308	-310.2676	-3.040338	1.065828	0.607371	0.335628	0.051786	0.00521548	0.06527659
260	-316.5028	-311.4158	-5.086962	1.02132	0.607371	0.335628	0.051786	0.00521548	0.320766
270	-314.3314	-310.396	-3.935426	1.094486	0.607371	0.335628	0.051786	0.00521548	0.1272013
280	-315.1364	-310.3316	-4.804864	1.122739	0.607371	0.335628	0.051786	0.00521548	0.1885516
290	-314.0606	-310.4448	-3.615784	1.158488	0.607371	0.335628	0.051786	0.00521548	0.02807344
300	-312.5947	-309.4826	-3.112073	1.116067	0.607371	0.335628	0.051786	0.00521548	0.02051687
310	-315.1416	-313.7551	-1.386548	0.9599098	0.607371	0.335628	0.051786	0.00521548	0.003309933
320	-316.0373	-310.3458	-5.691554	1.358835	0.607371	0.335628	0.051786	0.00521548	0.03497175
330	-314.03	-310.4245	-3.605468	1.170633	0.607371	0.335628	0.051786	0.00521548	0.0150263
340	-313.4455	-311.7215	-1.723962	0.9837258	0.607371	0.335628	0.051786	0.00521548	0.01349424
350	-315.1008	-310.1492	-4.951645	1.160303	0.607371	0.335628	0.051786	0.00521548	0.162575
360	-316.3916	-312.355	-4.036613	1.123537	0.607371	0.335628	0.051786	0.00521548	0.1038725
370	-315.1685	-313.7581	-1.41044	0.8868915	0.607371	0.335628	0.051786	0.00521548	0.07944626
380	-316.4999	-312.0634	-4.43647	1.181046	0.607371	0.335628	0.051786	0.00521548	0.08784524
390	-313.9206	-310.181	-3.739674	1.108313	0.607371	0.335628	0.051786	0.00521548	0.09227465
400	-314.692	-313.2466	-1.445434	0.8733808	0.607371	0.335628	0.051786	0.00521548	0.09817996
410	-314.8046	-310.7983	-4.006299	1.146878	0.607371	0.335628	0.051786	0.00521548	0.08156907
420	-316.4472	-308.8165	-7.630748	1.249176	0.607371	0.335628	0.051786	0.00521548	0.3514511
430	-312.746	-309.5395	-3.206488	1.111904	0.607371	0.335628	0.051786	0.00521548	0.03464592
440	-313.7002	-309.7847	-3.915553	1.17744	0.607371	0.335628	0.051786	0.00521548	0.03965481
450	-313.1013	-308.6415	-4.459812	1.259251	0.607371	0.335628	0.051786	0.00521548	0.0118293
460	-316.1958	-315.1633	-1.032479	0.8965526	0.607371	0.335628	0.051786	0.00521548	0.03092884
470	-313.7649	-308.7793	-4.985588	1.230694	0.607371	0.335628	0.051786	0.00521548	0.0954185
480	-316.2953	-314.8059	-1.489336	0.913244	0.607371	0.335628	0.051786	0.00521548	0.0621949
490	-315.2396	-312.9237	-2.315928	0.9523685	0.607371	0.335628	0.051786	0.00521548	0.1046611
500	-316.6771	-314.3396	-2.337501	0.9985997	0.607371	0.335628	0.051786	0.00521548	0.06298169
510	-313.6352	-308.6119	-5.023266	1.213501	0.607371	0.335628	0.051786	0.00521548	0.1175282
520	-320.423	-307.8036	-12.61941	1.981987	0.607371	0.335628	0.051786	0.00521548	0.1082043
530	-315.2811	-314.4679	-0.8132742	0.8991744	0.607371	0.335628	0.051786	0.00521548	0.006872681
540	-314.5054	-307.8279	-6.677507	1.331854	0.607371	0.335628	0.051786	0.00521548	0.1669328
550	-316.0526	-307.0605	-8.992093	1.639498	0.607371	0.335628	0.051786	0.00521548	0.08959096
560	-318.5722	-307.7079	-10.86424	1.889324	0.607371	0.335628	0.051786	0.00521548	0.02271252
570	-316.6624	-314.2589	-2.403486	0.9920227	0.607371	0.335628	0.051786	0.00521548	0.07191543
580	-314.1621	-312.2476	-1.914431	0.9864779	0.607371	0.335628	0.051786	0.00521548	0.03008156
590	-315.0468	-309.021	-6.025778	1.166009	0.607371	0.335628	0.051786	0.00521548	0.2703429
600	-316.4513	-312.6184	-3.832937	1.006847	0.607371	0.335628	0.051786	0.00521548	0.2014238
610	-313.9615	-307.9158	-6.04571	1.388729	0.607371	0.335628	0.051786	0.00521548	0.04267695
620	-313.6191	-310.7614	-2.857716	1.071322	0.607371	0.335628	0.051786	0.00521548	0.03970612
630	-314.6358	-310.3492	-4.286552	1.220821	0.607371	0.335628	0.051786	0.00521548	0.03412642
640	-314.3247	-309.503	-4.821673	1.289024	0.607371	0.335628	0.051786	0.00521548	0.01804195
650	-313.236	-309.9391	-3.296924	1.082886	0.607371	0.335628	0.051786	0.00521548	0.0741919
660	-317.2034	-312.7354	-4.468042	1.058976	0.607371	0.335628	0.051786	0.00521548	0.2102871
670	-313.3642	-311.0262	-2.337956	1.000318	0.607371	0.335628	0.051786	0.00521548	0.0595267
680	-313.9621	-307.8053	-6.156842	1.360398	0.607371	0.335628	0.051786	0.00521548	0.08361971
690	-313.9527	-308.2055	-5.747232	1.293749	0.607371	0.335628	0.051786	0.00521548	0.1096315
700	-313.1482	-311.3593	-1.788887	0.9889035	0.607371	0.335628	0.051786	0.00521548	0.01496189
710	-313.3989	-310.6985	-2.700408	1.052743	0.607371	0.335628	0.051786	0.00521548	0.04318595
720	-317.8108	-318.4266	0.6158037	0.7338173	0.607371	0.335628	0.051786	0.00521548	0.03013194
730	-313.4239	-307.5365	-5.887424	1.373955	0.607371	0.335628	0.051786	0.00521548	0.04116067
740	-317.7357	-313.7112	-4.024493	1.159962	0.607371	0.335628	0.051786	0.00521548	0.06699388
750	-314.8783	-311.5594	-3.31898	1.06428	0.607371	0.335628	0.051786	0.00521548	0.09461517
760	-314.5119	-310.1538	-4.358136	1.127887	0.607371	0.335628	0.051786	0.00521548	0.1384866
770	-314.028	-310.4805	-3.547561	1.041778	0.607371	0.335628	0.051786	0.00521548	0.1428921
780	-313.7942	-310.7721	-3.02209	1.100235	0.607371	0.335628	0.051786	0.00521548	0.0278905
790	-313.3265	-309.6668	-3.659716	1.164709	0.607371	0.335628	0.051786	0.00521548	0.02659952
800	-314.357	-309.9597	-4.397354	1.248851	0.607371	0.335628	0.051786	0.00521548	0.01573791
810	-315.479	-314.7854	-0.6936333	0.8730805	0.607371	0.335628	0.051786	0.00521548	0.0210691
820	-314.1751	-310.8671	-3.307958	1.110959	0.607371	0.335628	0.051786	0.00521548	0.04532099
830	-316.2503	-310.7057	-5.544542	1.190318	0.607371	0.335628	0.051786	0.00521548	0.1956525
840	-314.6076	-310.8883	-3.719356	1.028499	0.607371	0.335628	0.051786	0.00521548	0.1715014
850	-313.6126	-309.8176	-3.794998	1.14571	0.607371	0.335628	0.051786	0.00521548	0.05995353
860	-315.871	-314.3136	-1.557383	0.9056701	0.607371	0.335628	0.051786	0.00521548	0.07780957
870	-315.5162	-311.1582	-4.358013	0.9940495	0.607371	0.335628	0.051786	0.00521548	0.2723135
880	-314.0065	-311.4833	-2.523194	0.9926792	0.607371	0.335628	0.051786	0.00521548	0.08747655
890	-318.2952	-309.184	-9.111281	1.647099	0.607371	0.335628	0.051786	0.00521548	0.08945555
900	-315.7595	-311.0073	-4.752175	1.283588	0.607371	0.335628	0.051786	0.00521548	0.01623707
910	-315.4489	-310.6004	-4.848496	1.15983	0.607371	0.335628	0.051786	0.00521548	0.1511509
920	-316.8832	-311.3895	-5.493706	1.301636	0.607371	0.335628	0.051786	0.00521548	0.07379183
930	-313.583	-311.945	-1.638053	0.986603	0.607371	0.335628	0.051786	0.00521548	0.001849261
940	-318.3254	-314.6445	-3.680828	0.8830121	0.607371	0.335628	0.051786	0.00521548	0.3084901
950	-312.7858	-310.2437	-2.542077	1.053584	0.607371	0.335628	0.051786	0.00521548	0.02614284
960	-313.7534	-307.2798	-6.473655	1.450942	0.607371	0.335628	0.051786	0.00521548	0.0221354
970	-315.0135	-309.4026	-5.610904	1.128001	0.607371	0.335628	0.051786	0.00521548	0.2667986
980	-314.5437	-311.3056	-3.238092	1.142144	0.607371	0.335628	0.051786	0.00521548	0.006271444
990	-313.5161	-308.1898	-5.32629	1.318708	0.607371	0.335628	0.051786	0.00521548	0.03997543
