Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-584.3784	-585.8921	1.513678	0.03761774	0.04938561
10	-391.7534	-389.0669	-2.686507	0.2759227	0.2198695
20	-324.8425	-314.6733	-10.16927	1.162954	0.09324982
30	-322.9006	-311.8455	-11.05508	1.247049	0.1004593
40	-323.7637	-309.5883	-14.17544	1.534358	0.1235133
50	-324.7004	-310.7858	-13.91465	1.419233	0.212969
60	-323.565	-311.23	-12.33496	1.325377	0.1478381
70	-326.5739	-313.2333	-13.34064	1.352202	0.2191116
80	-324.0276	-310.4764	-13.55125	1.395122	0.2016017
90	-324.8505	-312.3956	-12.45493	1.290158	0.1972026
100	-325.6265	-313.6001	-12.02642	1.206189	0.231766
110	-325.3248	-311.725	-13.59985	1.441053	0.1572835
120	-326.4269	-309.8684	-16.55848	1.789649	0.1057484
130	-325.7389	-311.948	-13.79086	1.58445	0.03494474
140	-325.1775	-313.6495	-11.52804	1.363631	0.0290899
150	-322.7107	-312.4555	-10.25523	1.223448	0.0427206
160	-327.3806	-318.4506	-8.930042	1.101201	0.03264008
170	-322.6831	-310.7589	-11.92418	1.351914	0.08266726
180	-324.5369	-314.9735	-9.563336	1.157293	0.04084215
190	-327.804	-315.2238	-12.58014	1.411573	0.08524581
200	-325.5211	-311.5336	-13.98748	1.483623	0.1559741
210	-326.6253	-315.9321	-10.69318	1.212505	0.09605568
220	-322.8802	-310.8682	-12.01201	1.325577	0.1181344
230	-322.6713	-312.0515	-10.61978	1.242864	0.0599354
240	-322.3832	-309.1323	-13.25097	1.542357	0.02364215
250	-323.0211	-313.0331	-9.987989	1.183163	0.05605456
260	-325.4587	-313.5677	-11.89102	1.299479	0.1292104
270	-323.6912	-310.8695	-12.82168	1.36423	0.1617061
280	-325.3532	-312.1489	-13.20431	1.280706	0.2866302
290	-326.4885	-311.667	-14.82146	1.661164	0.0627436
300	-323.4479	-308.1652	-15.28271	1.678811	0.09252744
310	-323.0928	-312.3396	-10.7532	1.280572	0.03486636
320	-325.5412	-310.4057	-15.13549	1.52396	0.2333269
330	-328.7506	-320.5982	-8.152419	1.002842	0.05239564
340	-322.2152	-309.5804	-12.63478	1.464465	0.04065783
350	-322.382	-310.9579	-11.42409	1.317782	0.06646653
